epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6946,1.3623,2.42691,3.49488,1.38589,0.31662,0.21159,0.18893,0.10446,0.41883,0.21283,0.18388,0.08794,1.69999,2.96425,2.74591,1.61413,0.00023593,0.00023593,0.00023593
2,46.1277,1.40602,2.27792,2.41503,1.39587,0.30911,0.32037,0.20125,0.11124,0.38447,0.24107,0.19834,0.09459,1.72388,3.07728,2.70875,1.6243,0.000464547,0.000464547,0.000464547
3,68.2045,1.50123,2.38048,2.36531,1.43923,0.28412,0.31155,0.16137,0.07837,0.28849,0.27747,0.14942,0.06726,1.78949,3.74762,10.8349,1.69776,0.000683738,0.000683738,0.000683738
4,89.5743,1.49597,2.35868,2.24166,1.44995,0.35757,0.27698,0.23474,0.12274,0.37317,0.25409,0.2255,0.10198,1.77441,3.03387,2.5412,1.66381,0.000671588,0.000671588,0.000671588
5,111.658,1.45963,2.31041,2.22081,1.41652,0.56215,0.2611,0.23135,0.12396,0.58233,0.21219,0.21639,0.10932,1.71261,2.82207,2.46811,1.61063,0.000657451,0.000657451,0.000657451
6,133.479,1.4387,2.30577,2.16093,1.4237,0.52114,0.29925,0.26371,0.143,0.5202,0.285,0.24897,0.11314,1.67675,2.88536,2.2374,1.61433,0.000643314,0.000643314,0.000643314
7,155.183,1.40187,2.20824,2.04298,1.39261,0.41904,0.30538,0.29386,0.16454,0.3957,0.30192,0.27776,0.13889,1.64428,2.75337,2.21009,1.59798,0.000629177,0.000629177,0.000629177
8,176.942,1.36082,2.16801,1.98226,1.37623,0.42831,0.3289,0.3083,0.17005,0.40735,0.33027,0.29342,0.15396,1.6174,2.68578,2.15946,1.57164,0.00061504,0.00061504,0.00061504
9,198.874,1.34672,2.11186,1.8901,1.34889,0.45488,0.26936,0.30281,0.15402,0.44112,0.26206,0.28787,0.14225,1.69565,2.68289,2.3844,1.67983,0.000600902,0.000600902,0.000600902
10,220.736,1.34371,2.1434,1.84874,1.33854,0.57447,0.29202,0.31306,0.17635,0.54642,0.27967,0.29638,0.15639,1.59021,2.5574,2.13811,1.55097,0.000586765,0.000586765,0.000586765
11,242.142,1.29287,2.06942,1.86076,1.33823,0.51527,0.35335,0.3246,0.18112,0.48037,0.33354,0.30138,0.16107,1.58358,2.64933,2.23233,1.53877,0.000572628,0.000572628,0.000572628
12,263.572,1.2703,2.04399,1.8066,1.30906,0.5293,0.34355,0.34792,0.19484,0.52165,0.33051,0.32949,0.17384,1.56119,2.61524,1.9916,1.50569,0.000558491,0.000558491,0.000558491
13,285.111,1.26861,2.03824,1.74701,1.30789,0.51373,0.38395,0.39078,0.23013,0.56651,0.33785,0.36949,0.20039,1.5362,2.55699,1.97646,1.49416,0.000544354,0.000544354,0.000544354
14,306.72,1.26613,1.99545,1.65452,1.29055,0.45513,0.36633,0.34707,0.20238,0.44267,0.36154,0.33283,0.17888,1.54354,2.58256,2.03677,1.49376,0.000530216,0.000530216,0.000530216
15,328.18,1.24162,1.98339,1.68498,1.29036,0.47243,0.35858,0.34745,0.1992,0.47416,0.3428,0.33601,0.1805,1.57846,2.58433,2.11471,1.53552,0.000516079,0.000516079,0.000516079
16,349.262,1.21586,1.91928,1.62905,1.26178,0.58176,0.30832,0.3706,0.21597,0.4923,0.34644,0.35601,0.19054,1.56819,2.50142,2.0432,1.52994,0.000501942,0.000501942,0.000501942
17,370.422,1.20919,1.90657,1.60002,1.26538,0.50524,0.34741,0.33063,0.19884,0.47495,0.34108,0.31578,0.17427,1.55452,2.52348,2.25057,1.5585,0.000487805,0.000487805,0.000487805
18,391.906,1.19321,1.92743,1.53779,1.25361,0.54397,0.36236,0.36427,0.21109,0.5334,0.35698,0.34616,0.17735,1.53168,2.57148,2.0156,1.52408,0.000473668,0.000473668,0.000473668
19,413.354,1.16683,1.85246,1.49363,1.24238,0.52708,0.4102,0.39296,0.23996,0.5211,0.39654,0.37283,0.20263,1.58193,2.59378,1.97936,1.53211,0.00045953,0.00045953,0.00045953
20,434.612,1.16996,1.83806,1.46755,1.22754,0.47453,0.38795,0.37425,0.22328,0.46572,0.37638,0.35945,0.19833,1.49739,2.49835,1.94763,1.47592,0.000445393,0.000445393,0.000445393
21,455.682,1.15456,1.83703,1.46362,1.22141,0.5274,0.41347,0.39873,0.25367,0.61838,0.34755,0.38361,0.22258,1.4849,2.48511,1.93558,1.48103,0.000431256,0.000431256,0.000431256
22,477.099,1.13103,1.75891,1.41668,1.20682,0.53648,0.33752,0.36891,0.21911,0.5325,0.33476,0.34805,0.1954,1.48633,2.47462,1.99678,1.46395,0.000417119,0.000417119,0.000417119
23,498.288,1.11676,1.72575,1.41028,1.20425,0.53629,0.38131,0.37469,0.22363,0.52287,0.37548,0.36213,0.19547,1.52973,2.47908,2.05563,1.50501,0.000402982,0.000402982,0.000402982
24,519.57,1.1165,1.78122,1.37677,1.20683,0.63833,0.36228,0.40743,0.24421,0.61141,0.34918,0.38391,0.21738,1.48163,2.50258,1.98914,1.47644,0.000388844,0.000388844,0.000388844
25,540.578,1.10473,1.73272,1.34837,1.21031,0.58847,0.40793,0.40853,0.24807,0.58746,0.40085,0.3989,0.20902,1.5,2.46396,1.91843,1.47476,0.000374707,0.000374707,0.000374707
26,561.755,1.09533,1.70808,1.29731,1.18354,0.37123,0.41172,0.38852,0.23626,0.36804,0.40762,0.38009,0.20512,1.5219,2.53287,1.97828,1.47172,0.00036057,0.00036057,0.00036057
27,583.159,1.07509,1.69273,1.2861,1.1715,0.5512,0.36923,0.40249,0.24094,0.5457,0.36329,0.38758,0.20912,1.50643,2.41881,1.95031,1.49272,0.000346433,0.000346433,0.000346433
28,604.304,1.05345,1.67663,1.2388,1.15651,0.64084,0.3761,0.42234,0.26329,0.61699,0.3555,0.39077,0.22334,1.45975,2.4718,1.87759,1.45776,0.000332296,0.000332296,0.000332296
29,625.999,1.06725,1.63367,1.25107,1.17161,0.41887,0.3936,0.40641,0.25183,0.40405,0.37833,0.38465,0.22388,1.50472,2.55949,1.94185,1.47973,0.000318158,0.000318158,0.000318158
30,647.477,1.0481,1.63524,1.20637,1.15878,0.47821,0.40474,0.40878,0.24266,0.46125,0.3902,0.39157,0.21435,1.55505,2.52675,2.09305,1.52732,0.000304021,0.000304021,0.000304021
31,668.492,1.01437,1.59003,1.14655,1.13213,0.57597,0.39853,0.42775,0.26128,0.51113,0.40741,0.40024,0.22627,1.5073,2.57167,2.00702,1.52433,0.000289884,0.000289884,0.000289884
32,689.896,1.00297,1.57999,1.14958,1.12949,0.47578,0.40117,0.41764,0.25811,0.56753,0.3934,0.4021,0.22532,1.50352,2.52172,1.98845,1.49233,0.000275747,0.000275747,0.000275747
33,711.26,1.01051,1.57348,1.10283,1.13867,0.46981,0.45721,0.43257,0.26871,0.4578,0.4464,0.41368,0.23701,1.49809,2.48923,1.96949,1.49212,0.00026161,0.00026161,0.00026161
34,732.886,0.99341,1.53007,1.08684,1.12012,0.56347,0.398,0.42817,0.26429,0.55494,0.38965,0.40981,0.23799,1.4975,2.45687,1.90088,1.48304,0.000247472,0.000247472,0.000247472
35,754.233,0.96612,1.51338,1.06366,1.10924,0.45915,0.40526,0.4204,0.25822,0.44714,0.39499,0.40225,0.23443,1.51938,2.64341,1.90334,1.51875,0.000233335,0.000233335,0.000233335
36,775.459,0.95704,1.51674,1.03628,1.10593,0.48492,0.42763,0.43328,0.26469,0.6381,0.38136,0.41855,0.23785,1.50669,2.55082,1.96711,1.52294,0.000219198,0.000219198,0.000219198
37,796.774,0.9686,1.47613,1.01083,1.09904,0.62505,0.39447,0.42566,0.26464,0.60963,0.38464,0.40514,0.23088,1.52283,2.56575,2.01068,1.51551,0.000205061,0.000205061,0.000205061
38,818.327,0.94005,1.46291,0.97715,1.09434,0.53194,0.41156,0.43958,0.27632,0.52984,0.40934,0.42523,0.24164,1.50357,2.61831,1.97153,1.51626,0.000190924,0.000190924,0.000190924
39,839.724,0.94243,1.46265,0.9664,1.0842,0.53906,0.40779,0.42885,0.26624,0.57167,0.37748,0.4091,0.23408,1.53321,2.63513,2.01082,1.54537,0.000176786,0.000176786,0.000176786
40,860.864,0.91436,1.43289,0.93614,1.07553,0.45985,0.42693,0.42559,0.26063,0.44284,0.41309,0.39769,0.22594,1.52207,2.63794,1.99415,1.51658,0.000162649,0.000162649,0.000162649
41,883.081,0.91007,1.3592,0.82414,1.07315,0.537,0.45218,0.44388,0.27717,0.50641,0.4302,0.41251,0.24104,1.52811,2.65074,2.0048,1.52038,0.000148512,0.000148512,0.000148512
42,903.794,0.88282,1.34017,0.77595,1.05122,0.56081,0.41566,0.44683,0.28455,0.55453,0.41098,0.43474,0.25233,1.51904,2.60749,2.01259,1.52466,0.000134375,0.000134375,0.000134375
43,925.034,0.87154,1.32334,0.75405,1.04972,0.52677,0.41383,0.42801,0.27392,0.52138,0.40796,0.41567,0.24003,1.5166,2.66156,1.98361,1.54096,0.000120238,0.000120238,0.000120238
44,945.856,0.84616,1.29539,0.72033,1.03123,0.53802,0.43459,0.44251,0.28584,0.53333,0.42999,0.42831,0.24974,1.48493,2.62758,1.98634,1.5117,0.0001061,0.0001061,0.0001061
45,966.615,0.84384,1.29023,0.69099,1.0263,0.55775,0.41781,0.43868,0.27157,0.51065,0.41871,0.41895,0.24313,1.53111,2.70926,2.04703,1.5446,9.19632e-05,9.19632e-05,9.19632e-05
46,987.35,0.82269,1.26832,0.67379,1.01593,0.56126,0.43829,0.43645,0.27197,0.53575,0.42624,0.4127,0.23957,1.5222,2.73339,2.13964,1.53803,7.7826e-05,7.7826e-05,7.7826e-05
47,1008.09,0.81686,1.25607,0.67237,1.00621,0.53897,0.4419,0.44105,0.28148,0.53446,0.43863,0.43234,0.25249,1.5003,2.72053,2.03947,1.52644,6.36888e-05,6.36888e-05,6.36888e-05
48,1028.91,0.80443,1.22324,0.63554,1.00105,0.5681,0.4282,0.4449,0.28718,0.56351,0.42493,0.4327,0.25147,1.51073,2.76107,2.07835,1.53046,4.95516e-05,4.95516e-05,4.95516e-05
49,1050.21,0.78947,1.21748,0.62461,0.99571,0.59659,0.42988,0.43731,0.27949,0.58885,0.42349,0.42519,0.2471,1.5293,2.80472,2.06883,1.55347,3.54144e-05,3.54144e-05,3.54144e-05
50,1071,0.78853,1.22092,0.6141,0.99911,0.60616,0.42052,0.44314,0.28621,0.59278,0.42172,0.4245,0.25082,1.52138,2.77869,2.06977,1.53916,2.12772e-05,2.12772e-05,2.12772e-05
