epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.0015,3.51636,5.70919,4.33012,0.00035,0.03808,0.00027,9e-05,3.31069,4.58619,4.1585,0.0001125,0.0001125,0.0001125
2,5.15759,3.6787,5.22605,4.25336,0.00034,0.03808,0.00019,7e-05,3.31158,4.58051,4.15665,0.000232798,0.000232798,0.000232798
3,7.21773,3.59481,5.33168,4.2047,0.00034,0.03808,0.00021,8e-05,3.31204,4.58404,4.15379,0.000348145,0.000348145,0.000348145
4,9.22248,4.00751,5.26159,4.15577,0.00033,0.03808,0.00019,6e-05,3.3209,4.50627,4.14619,0.000458542,0.000458542,0.000458542
5,11.072,3.9569,5.55609,4.15741,0.00033,0.03808,0.00019,6e-05,3.33775,4.18583,4.13656,0.00056399,0.00056399,0.00056399
6,12.6463,3.78982,4.94267,4.11563,8e-05,0.01389,5e-05,1e-05,3.35134,4.2181,4.13369,0.000664488,0.000664488,0.000664488
7,14.227,3.65279,5.13881,4.04918,0.00034,0.03808,0.00023,0.0001,3.27611,4.46447,4.17567,0.000760035,0.000760035,0.000760035
8,15.8987,3.3369,4.89359,3.99264,0.00034,0.03808,0.00025,5e-05,3.32969,4.73387,4.21982,0.000850632,0.000850632,0.000850632
9,17.4709,3.64029,4.94098,3.89813,0.00033,0.03808,0.00026,8e-05,3.2899,4.73401,4.30435,0.00093628,0.00093628,0.00093628
10,19.0385,3.61046,4.86332,3.89908,0.00035,0.03808,0.00019,3e-05,3.20053,5.26599,4.31108,0.00101698,0.00101698,0.00101698
11,20.6248,3.3448,4.75727,3.81632,0.00025,0.03808,0.00016,8e-05,3.23309,4.84178,4.28483,0.0010025,0.0010025,0.0010025
12,22.2109,3.34302,4.73911,3.72286,4e-05,0.01389,2e-05,0,3.17403,4.96189,4.2227,0.00097775,0.00097775,0.00097775
13,23.7987,3.33755,4.76281,3.74484,2e-05,0.01389,2e-05,1e-05,3.21392,5.43946,4.37391,0.000953,0.000953,0.000953
14,25.3974,3.29903,4.56016,3.65042,0.00052,0.08504,0.00036,9e-05,3.0369,4.87726,4.29173,0.00092825,0.00092825,0.00092825
15,27.0791,3.24929,4.70726,3.62313,0.00057,0.09615,0.00227,0.00041,2.99906,5.11139,4.24813,0.0009035,0.0009035,0.0009035
16,28.7362,3.29627,4.60282,3.57019,0.00073,0.10923,0.00536,0.00144,3.00177,4.5834,3.94367,0.00087875,0.00087875,0.00087875
17,30.3974,3.10382,4.63687,3.60023,0.75251,0.025,0.00858,0.00209,2.99654,4.39442,3.75301,0.000854,0.000854,0.000854
18,32.0688,3.208,4.43065,3.45658,0.78775,0.025,0.00679,0.00105,3.00533,4.53863,3.63183,0.00082925,0.00082925,0.00082925
19,33.7011,3.11711,4.46036,3.48355,0.77432,0.025,0.00407,0.00108,3.02761,4.46769,3.67125,0.0008045,0.0008045,0.0008045
20,35.3071,3.1888,4.43888,3.49288,0.80188,0.025,0.00939,0.00116,2.98771,4.2512,3.70584,0.00077975,0.00077975,0.00077975
21,36.9533,3.05062,4.24436,3.41584,0.00123,0.16953,0.00168,0.00029,2.92384,4.24871,3.62961,0.000755,0.000755,0.000755
22,38.638,3.05363,4.3534,3.39226,0.00096,0.15341,0.00349,0.00096,2.84738,4.18069,3.53794,0.00073025,0.00073025,0.00073025
23,40.2062,3.13651,4.39509,3.42128,0.00086,0.18728,0.0018,0.00049,2.91541,4.16112,3.56012,0.0007055,0.0007055,0.0007055
24,41.915,3.1481,4.23648,3.28954,0.00069,0.15565,0.00189,0.00048,2.88291,4.10789,3.57821,0.00068075,0.00068075,0.00068075
25,43.501,3.0996,4.32966,3.33214,0.00076,0.18065,0.00296,0.00089,2.89263,4.20789,3.5804,0.000656,0.000656,0.000656
26,45.1144,3.168,4.36486,3.39433,0.0009,0.19677,0.00299,0.00145,2.88396,4.07986,3.53845,0.00063125,0.00063125,0.00063125
27,46.7357,2.99526,4.26868,3.32658,0.0032,0.23283,0.00382,0.00117,2.83689,4.02921,3.4879,0.0006065,0.0006065,0.0006065
28,48.3534,2.93202,4.24908,3.28139,0.00568,0.29666,0.00709,0.002,2.80879,4.03888,3.43673,0.00058175,0.00058175,0.00058175
29,50.1076,2.99783,4.04944,3.22777,0.51897,0.02419,0.0113,0.00316,2.83396,3.95885,3.43065,0.000557,0.000557,0.000557
30,51.8052,3.05929,4.13154,3.291,0.56277,0.04919,0.02397,0.00739,2.80973,4.07994,3.46095,0.00053225,0.00053225,0.00053225
31,53.4622,3.13944,4.14173,3.19534,0.5572,0.02419,0.02226,0.00753,2.73698,4.06719,3.45047,0.0005075,0.0005075,0.0005075
32,55.0438,3.01289,3.96313,3.19903,0.56602,0.03198,0.02714,0.0081,2.76391,4.07549,3.42105,0.00048275,0.00048275,0.00048275
33,56.7307,2.88409,4.033,3.17586,0.5869,0.04113,0.01686,0.00648,2.76578,4.05234,3.42581,0.000458,0.000458,0.000458
34,58.3025,2.94636,3.98855,3.12698,0.29537,0.0639,0.01817,0.00623,2.73247,4.05857,3.41404,0.00043325,0.00043325,0.00043325
35,59.86,3.03738,4.03937,3.2062,0.00264,0.34606,0.02004,0.00763,2.7213,4.04175,3.41542,0.0004085,0.0004085,0.0004085
36,61.4349,2.96807,3.84994,2.99746,0.79006,0.03226,0.03397,0.0114,2.67272,4.0053,3.35827,0.00038375,0.00038375,0.00038375
37,63.0926,2.90563,3.99619,3.08447,0.53633,0.03226,0.03245,0.0127,2.70552,3.92275,3.30676,0.000359,0.000359,0.000359
38,64.7542,2.83164,3.96041,3.19238,0.55161,0.02419,0.02977,0.0116,2.6926,3.86063,3.25906,0.00033425,0.00033425,0.00033425
39,66.3269,2.7853,3.91677,3.11642,0.32447,0.05726,0.0334,0.01338,2.66893,3.89604,3.24955,0.0003095,0.0003095,0.0003095
40,68.0003,2.81126,3.84041,2.91627,0.56898,0.05726,0.03316,0.01322,2.64156,3.95051,3.24289,0.00028475,0.00028475,0.00028475
41,70.234,2.62226,4.01464,2.91072,0.53803,0.03226,0.03363,0.01379,2.63688,3.90294,3.23347,0.00026,0.00026,0.00026
42,71.9259,2.70507,4.00622,2.93328,0.56602,0.0389,0.04036,0.02462,2.57507,3.9076,3.19626,0.00023525,0.00023525,0.00023525
43,73.5579,2.68465,4.01924,2.91714,0.71929,0.04696,0.04605,0.02547,2.55106,3.91894,3.17207,0.0002105,0.0002105,0.0002105
44,75.2004,2.6617,3.94442,2.93019,0.58447,0.05361,0.04286,0.0231,2.47459,3.9047,3.15436,0.00018575,0.00018575,0.00018575
45,76.7601,2.66022,3.92657,2.89076,0.57409,0.05361,0.03936,0.02051,2.46191,3.88255,3.14314,0.000161,0.000161,0.000161
46,78.3256,2.63146,3.84446,2.90085,0.62785,0.05008,0.04981,0.02242,2.46845,3.84733,3.12979,0.00013625,0.00013625,0.00013625
