epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.904,1.31995,2.34226,3.15953,1.352,0.38492,0.34905,0.31876,0.18428,0.36524,0.33787,0.29935,0.15033,1.50032,3.05521,2.3209,1.54729,0.000275119,0.000275119,0.000275119
2,43.742,1.42357,2.15723,2.21491,1.38671,0.34428,0.29027,0.25901,0.13083,0.35098,0.298,0.25943,0.11901,1.76785,3.15474,2.52024,1.80847,0.000541841,0.000541841,0.000541841
3,63.6603,1.50842,2.28317,2.22178,1.4504,0.32316,0.38978,0.31031,0.16435,0.30952,0.38644,0.29577,0.14163,1.77034,2.86351,2.52927,1.76612,0.000797567,0.000797567,0.000797567
4,83.4505,1.49437,2.25226,2.17283,1.46741,0.38431,0.34653,0.35012,0.17622,0.39025,0.35552,0.32987,0.17196,1.75128,2.88946,2.25236,1.78836,0.00078352,0.00078352,0.00078352
5,103.492,1.44283,2.19962,2.06146,1.42381,0.4734,0.36083,0.35156,0.18887,0.44288,0.33039,0.32616,0.17603,1.71037,2.70131,2.10256,1.73045,0.000767026,0.000767026,0.000767026
6,123.431,1.43312,2.14725,1.95185,1.40122,0.42609,0.37893,0.36372,0.21114,0.41678,0.38904,0.36174,0.19551,1.65721,2.51035,1.99187,1.65854,0.000750533,0.000750533,0.000750533
7,143.492,1.40316,2.07421,1.84824,1.37292,0.51646,0.35339,0.37781,0.21808,0.52405,0.35363,0.38189,0.20366,1.60082,2.50323,2.06575,1.6464,0.00073404,0.00073404,0.00073404
8,163.311,1.36522,2.05141,1.81327,1.34602,0.45532,0.47343,0.41867,0.24496,0.45597,0.47682,0.41519,0.22712,1.55464,2.39902,1.86526,1.58918,0.000717546,0.000717546,0.000717546
9,183.074,1.34782,1.96975,1.70354,1.33618,0.43532,0.39027,0.39563,0.24713,0.43485,0.39625,0.39109,0.23423,1.53619,2.31017,1.89083,1.55101,0.000701053,0.000701053,0.000701053
10,202.832,1.28955,1.90797,1.65459,1.28507,0.47436,0.46216,0.46722,0.28078,0.48321,0.46278,0.45875,0.26476,1.5609,2.35325,1.65729,1.57888,0.000684559,0.000684559,0.000684559
11,222.9,1.29131,1.90468,1.57748,1.2893,0.57583,0.42433,0.45381,0.28809,0.57274,0.42119,0.44113,0.27489,1.53649,2.25563,1.75416,1.56464,0.000668066,0.000668066,0.000668066
12,242.93,1.28643,1.87257,1.57836,1.29904,0.41173,0.45596,0.38057,0.21974,0.51864,0.35822,0.37018,0.2061,1.59548,2.42045,1.85245,1.59075,0.000651573,0.000651573,0.000651573
13,262.768,1.23533,1.81826,1.52708,1.27517,0.57,0.50099,0.49927,0.30351,0.56371,0.48517,0.46934,0.2703,1.54197,2.35238,1.62505,1.55979,0.000635079,0.000635079,0.000635079
14,282.955,1.24929,1.83317,1.48075,1.26686,0.63193,0.47764,0.51516,0.3047,0.6168,0.463,0.49143,0.28573,1.49395,2.17495,1.62694,1.51802,0.000618586,0.000618586,0.000618586
15,303.491,1.20489,1.78425,1.4723,1.25661,0.56192,0.49474,0.50638,0.30065,0.55963,0.48968,0.49589,0.28113,1.53171,2.26708,1.65385,1.59276,0.000602092,0.000602092,0.000602092
16,323.365,1.19829,1.76248,1.40936,1.24325,0.57942,0.44508,0.4781,0.30081,0.57674,0.44332,0.46856,0.29386,1.47474,2.21504,1.61424,1.49569,0.000585599,0.000585599,0.000585599
