epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.0962,1.35901,2.36588,2.84647,1.38687,0.36712,0.23724,0.17552,0.09651,0.3655,0.23759,0.16703,0.07782,1.80237,4.17413,3.1667,1.86667,0.000275119,0.000275119,0.000275119
2,94.2407,1.59589,2.51561,2.50773,1.57135,0.28731,0.19726,0.10763,0.0467,0.27763,0.19129,0.09406,0.04088,2.08606,4.00122,4.95282,2.16394,0.000541841,0.000541841,0.000541841
3,141.987,1.66146,2.5143,2.49576,1.60329,0.24466,0.2497,0.14821,0.06856,0.23681,0.24042,0.14636,0.06127,1.95258,3.33722,6.06845,2.14451,0.000797567,0.000797567,0.000797567
4,193.158,1.64493,2.49945,2.43819,1.62437,0.19253,0.33652,0.18041,0.08197,0.19268,0.32654,0.17486,0.07687,1.79227,2.84555,3.68429,1.89437,0.00078352,0.00078352,0.00078352
5,238.416,1.56189,2.39621,2.27917,1.56884,0.28598,0.23657,0.22585,0.11487,0.23301,0.35498,0.21367,0.10544,1.82153,2.81742,2.60675,1.89184,0.000767026,0.000767026,0.000767026
6,289.245,1.55115,2.32131,2.1796,1.52238,0.36005,0.34396,0.28144,0.15544,0.35992,0.34054,0.27643,0.15053,1.66773,2.69543,2.32555,1.71113,0.000750533,0.000750533,0.000750533
7,333.975,1.51572,2.27137,2.08704,1.51842,0.37391,0.40205,0.30916,0.18063,0.37444,0.40413,0.30765,0.1713,1.64971,2.52606,2.58324,1.74945,0.00073404,0.00073404,0.00073404
8,380.913,1.46471,2.23074,2.00955,1.48075,0.40975,0.38243,0.34729,0.19683,0.42428,0.38801,0.34779,0.19124,1.61455,2.42828,2.1356,1.69507,0.000717546,0.000717546,0.000717546
9,425.612,1.44294,2.18721,1.9435,1.45783,0.43381,0.43304,0.37596,0.21786,0.42772,0.42609,0.36586,0.21345,1.58699,2.49584,1.99928,1.66809,0.000701053,0.000701053,0.000701053
10,470.566,1.4056,2.12029,1.86156,1.42343,0.43412,0.43969,0.40947,0.24655,0.44264,0.44025,0.40953,0.22372,1.52581,2.36173,1.8459,1.58156,0.000684559,0.000684559,0.000684559
11,517.744,1.38762,2.10281,1.84089,1.41492,0.45611,0.43132,0.4416,0.25434,0.44023,0.40351,0.40484,0.22661,1.55334,2.38577,1.80718,1.61911,0.000668066,0.000668066,0.000668066
12,563.672,1.37533,2.06668,1.83737,1.42135,0.48361,0.37281,0.39089,0.23009,0.47088,0.36797,0.37697,0.21204,1.57421,2.34517,2.10279,1.66931,0.000651573,0.000651573,0.000651573
13,612.72,1.33601,1.96952,1.74677,1.39205,0.50641,0.43438,0.42462,0.26196,0.49881,0.42169,0.41313,0.23212,1.54227,2.29234,1.91403,1.6245,0.000635079,0.000635079,0.000635079
14,656.123,1.3336,2.00852,1.72428,1.38475,0.56889,0.4592,0.48551,0.29953,0.5682,0.45516,0.47536,0.27593,1.49841,2.30517,1.7639,1.5893,0.000618586,0.000618586,0.000618586
15,702.916,1.30412,1.98059,1.67187,1.37206,0.52479,0.47231,0.47935,0.2836,0.5122,0.46184,0.46094,0.26334,1.50122,2.29504,1.69075,1.55722,0.000602092,0.000602092,0.000602092
16,752.464,1.30848,1.97406,1.66502,1.36957,0.49555,0.42911,0.44208,0.26879,0.48023,0.41792,0.42943,0.24987,1.48955,2.21163,1.7867,1.59578,0.000585599,0.000585599,0.000585599
17,797.299,1.27797,1.89426,1.6139,1.34879,0.53791,0.40754,0.43723,0.26272,0.55652,0.39722,0.42402,0.24238,1.52246,2.30951,1.81749,1.62936,0.000569106,0.000569106,0.000569106
18,844.248,1.21741,1.89329,1.54127,1.31785,0.54802,0.51317,0.48583,0.29958,0.54893,0.51147,0.48137,0.28384,1.46879,2.20158,1.67164,1.60369,0.000552612,0.000552612,0.000552612
19,890.165,1.24249,1.923,1.52957,1.32685,0.48237,0.51088,0.46665,0.28462,0.4671,0.50234,0.45305,0.24956,1.44313,2.17325,1.64329,1.56354,0.000536119,0.000536119,0.000536119
20,934.111,1.23666,1.84997,1.50432,1.33804,0.53815,0.4555,0.47572,0.28775,0.53905,0.46025,0.47136,0.26968,1.47165,2.21228,1.62202,1.57186,0.000519625,0.000519625,0.000519625
21,977.921,1.20893,1.80976,1.47738,1.30631,0.58007,0.49093,0.50636,0.30723,0.57203,0.47958,0.49441,0.28342,1.46539,2.24933,1.65545,1.59694,0.000503132,0.000503132,0.000503132
22,1020.87,1.23612,1.88935,1.43418,1.313,0.60072,0.54926,0.55825,0.33658,0.59089,0.53603,0.54746,0.31801,1.44868,2.21004,1.57269,1.56842,0.000486639,0.000486639,0.000486639
23,1063.34,1.20414,1.78741,1.4338,1.30549,0.62682,0.5049,0.54944,0.34366,0.63516,0.48957,0.53917,0.32101,1.45449,2.13625,1.55372,1.5961,0.000470145,0.000470145,0.000470145
24,1105.29,1.16455,1.77538,1.38258,1.28568,0.53421,0.55568,0.55136,0.35313,0.57879,0.52198,0.53963,0.31309,1.4453,2.26538,1.52747,1.55898,0.000453652,0.000453652,0.000453652
25,1148.14,1.1628,1.74646,1.37333,1.26794,0.59966,0.50686,0.52807,0.32951,0.58975,0.49042,0.50327,0.29603,1.42374,2.10195,1.63124,1.54839,0.000437158,0.000437158,0.000437158
26,1190.18,1.13464,1.71858,1.29687,1.26721,0.53612,0.58458,0.56982,0.36814,0.52717,0.57055,0.57003,0.34193,1.37197,2.10239,1.4454,1.49701,0.000420665,0.000420665,0.000420665
27,1236.04,1.12981,1.70837,1.28456,1.25241,0.56417,0.50294,0.51945,0.33204,0.56971,0.49371,0.513,0.30401,1.35356,2.1012,1.51188,1.51724,0.000404172,0.000404172,0.000404172
28,1280.63,1.12167,1.68412,1.28024,1.25157,0.73625,0.45741,0.53912,0.34476,0.73377,0.45596,0.53029,0.32063,1.42882,2.0968,1.51856,1.53191,0.000387678,0.000387678,0.000387678
29,1324.21,1.11524,1.64374,1.24378,1.24619,0.56923,0.53662,0.54813,0.34923,0.55373,0.52176,0.5254,0.30607,1.38633,2.16192,1.4553,1.51837,0.000371185,0.000371185,0.000371185
30,1368.56,1.10344,1.65265,1.21794,1.23083,0.53656,0.5766,0.54604,0.35636,0.53651,0.56731,0.53836,0.32592,1.39082,2.09524,1.47026,1.54578,0.000354691,0.000354691,0.000354691
31,1420.62,1.0772,1.66512,1.18282,1.22406,0.6706,0.52702,0.60279,0.40161,0.67846,0.52716,0.60043,0.36777,1.37971,2.04875,1.4545,1.5194,0.000338198,0.000338198,0.000338198
32,1472.52,1.09139,1.65785,1.2081,1.23961,0.71315,0.56337,0.61421,0.39339,0.74972,0.52919,0.59352,0.35698,1.3882,2.08155,1.46317,1.52517,0.000321705,0.000321705,0.000321705
33,1518.18,1.07277,1.60037,1.14704,1.2103,0.55355,0.61007,0.61024,0.39084,0.53165,0.59444,0.58561,0.35301,1.4125,2.14536,1.40064,1.5532,0.000305211,0.000305211,0.000305211
34,1565.61,1.0586,1.58115,1.13354,1.21099,0.64927,0.53537,0.59745,0.39757,0.65588,0.54333,0.58453,0.35773,1.3576,2.07651,1.43034,1.49913,0.000288718,0.000288718,0.000288718
35,1612.87,1.01535,1.58656,1.08517,1.18937,0.6608,0.59341,0.62165,0.40378,0.74473,0.53649,0.60219,0.37028,1.39378,2.01665,1.37801,1.53693,0.000272224,0.000272224,0.000272224
36,1657.01,1.00619,1.49678,1.05744,1.18217,0.69356,0.50624,0.58252,0.38344,0.67703,0.49546,0.56547,0.35618,1.37656,1.99559,1.39526,1.51337,0.000255731,0.000255731,0.000255731
37,1701.7,1.02247,1.5581,1.08554,1.19018,0.6661,0.58137,0.60299,0.38482,0.65045,0.56468,0.58191,0.35676,1.3644,2.01055,1.38333,1.50942,0.000239238,0.000239238,0.000239238
38,1750.7,0.98442,1.49867,1.0113,1.16848,0.65943,0.61442,0.65744,0.43626,0.68191,0.57365,0.63353,0.39124,1.37615,2.03924,1.32364,1.5268,0.000222744,0.000222744,0.000222744
39,1797.98,0.9671,1.48429,1.01059,1.16208,0.69152,0.58217,0.62379,0.40315,0.68636,0.57518,0.61304,0.37296,1.38439,2.0717,1.40735,1.55194,0.000206251,0.000206251,0.000206251
40,1844.5,0.96413,1.47011,0.99037,1.16415,0.6659,0.54601,0.60873,0.40061,0.65268,0.52281,0.585,0.37369,1.40671,2.09993,1.36217,1.57153,0.000189757,0.000189757,0.000189757
41,1900.33,0.97441,1.43345,0.91512,1.176,0.58348,0.5957,0.60558,0.39325,0.61104,0.55864,0.59317,0.36864,1.40634,2.18234,1.41154,1.56662,0.000173264,0.000173264,0.000173264
42,1946.49,0.96789,1.40884,0.89976,1.17797,0.69187,0.57021,0.63231,0.40717,0.68378,0.56279,0.61333,0.36865,1.41262,2.1749,1.2969,1.57504,0.000156771,0.000156771,0.000156771
43,1989.43,0.93456,1.39163,0.83394,1.15895,0.71111,0.57651,0.62225,0.40902,0.69605,0.56722,0.59982,0.36973,1.40571,2.14436,1.37796,1.55659,0.000140277,0.000140277,0.000140277
44,2033.48,0.91769,1.35585,0.82029,1.13651,0.69879,0.56246,0.62737,0.42059,0.69847,0.5494,0.60635,0.38213,1.38967,2.12875,1.36474,1.54536,0.000123784,0.000123784,0.000123784
45,2080.3,0.90154,1.34702,0.78449,1.1298,0.65835,0.59701,0.63128,0.42012,0.68156,0.54688,0.60958,0.38411,1.343,2.16583,1.34229,1.51891,0.00010729,0.00010729,0.00010729
46,2124,0.88153,1.32665,0.75201,1.11761,0.68775,0.61055,0.64494,0.41802,0.68058,0.59765,0.61992,0.38227,1.39937,2.20468,1.36712,1.57064,9.0797e-05,9.0797e-05,9.0797e-05
47,2167.44,0.87357,1.29169,0.73043,1.10838,0.71184,0.59936,0.65591,0.43653,0.69881,0.58827,0.62692,0.40178,1.38692,2.1787,1.34697,1.56599,7.43036e-05,7.43036e-05,7.43036e-05
48,2211.65,0.86263,1.28088,0.71282,1.11076,0.65902,0.65255,0.64917,0.42598,0.6373,0.63358,0.62062,0.39053,1.38463,2.18688,1.32868,1.56815,5.78102e-05,5.78102e-05,5.78102e-05
49,2252.26,0.84005,1.2543,0.68039,1.09115,0.72178,0.59672,0.65116,0.43112,0.70324,0.58468,0.62491,0.3975,1.38288,2.2111,1.34688,1.56824,4.13168e-05,4.13168e-05,4.13168e-05
50,2291.7,0.83642,1.26918,0.68245,1.09001,0.6898,0.60994,0.63791,0.41866,0.68541,0.59434,0.61241,0.38493,1.37439,2.19708,1.34126,1.55904,2.48234e-05,2.48234e-05,2.48234e-05
