epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8971,1.35539,2.36286,3.18833,1.37105,0.34725,0.32677,0.27502,0.14677,0.43373,0.2674,0.25764,0.12608,1.52999,2.56476,2.62752,1.64121,0.000275119,0.000275119,0.000275119
2,42.0017,1.44631,2.18886,2.2273,1.40762,0.27381,0.35081,0.25613,0.13851,0.2647,0.34029,0.24187,0.12871,1.74962,3.19669,2.25748,1.7473,0.000541841,0.000541841,0.000541841
3,61.4129,1.54979,2.3237,2.22847,1.47442,0.33491,0.3496,0.28644,0.14451,0.349,0.34161,0.2766,0.13246,1.73839,2.97537,2.33931,1.81411,0.000797567,0.000797567,0.000797567
4,81.3851,1.52523,2.32752,2.24548,1.4928,0.49731,0.28066,0.27565,0.1662,0.49226,0.28122,0.27035,0.1494,1.62489,2.6204,2.43996,1.69138,0.00078352,0.00078352,0.00078352
5,101.035,1.47508,2.21974,2.1113,1.45505,0.42698,0.36347,0.31564,0.1753,0.41124,0.35584,0.29219,0.15112,1.68998,2.55193,2.16231,1.70105,0.000767026,0.000767026,0.000767026
6,120.773,1.46893,2.20981,2.02755,1.43096,0.49664,0.36107,0.36937,0.21898,0.42316,0.36322,0.34493,0.19021,1.58889,2.47966,2.00247,1.62234,0.000750533,0.000750533,0.000750533
7,140.57,1.43305,2.15419,1.90936,1.42153,0.38847,0.40147,0.35287,0.19887,0.37689,0.38714,0.34518,0.18761,1.62485,2.47898,2.02729,1.66725,0.00073404,0.00073404,0.00073404
8,160.198,1.39935,2.1066,1.87053,1.37175,0.55457,0.41224,0.40005,0.22647,0.52159,0.42111,0.39477,0.21348,1.63264,2.43358,1.99967,1.66611,0.000717546,0.000717546,0.000717546
9,180.973,1.38638,2.08286,1.78655,1.36521,0.45666,0.42148,0.37955,0.22159,0.44855,0.41756,0.36856,0.20431,1.51018,2.32672,1.97683,1.54868,0.000701053,0.000701053,0.000701053
10,200.324,1.3446,2.00215,1.7358,1.33597,0.54989,0.42712,0.45094,0.2683,0.54991,0.42722,0.45251,0.25495,1.56868,2.31497,1.85084,1.57319,0.000684559,0.000684559,0.000684559
11,219.914,1.33793,2.01741,1.69609,1.34063,0.52613,0.46798,0.44152,0.27507,0.51503,0.45559,0.42159,0.24974,1.53435,2.35416,1.78354,1.57712,0.000668066,0.000668066,0.000668066
12,239.244,1.3203,1.97128,1.68583,1.33067,0.50669,0.35501,0.36914,0.21431,0.5097,0.34361,0.36217,0.20496,1.55676,2.39026,1.92487,1.56268,0.000651573,0.000651573,0.000651573
13,258.609,1.28404,1.88542,1.60274,1.30829,0.53247,0.43878,0.45715,0.28711,0.52553,0.43497,0.44163,0.25376,1.48221,2.23355,1.70518,1.50963,0.000635079,0.000635079,0.000635079
14,278.504,1.28507,1.92569,1.56494,1.30749,0.60585,0.46008,0.48127,0.28623,0.59528,0.44466,0.45522,0.27141,1.49536,2.157,1.75635,1.51715,0.000618586,0.000618586,0.000618586
15,298.397,1.25744,1.87804,1.53103,1.29329,0.69845,0.4674,0.5492,0.3291,0.66526,0.44555,0.50617,0.30509,1.4423,2.16375,1.50491,1.46566,0.000602092,0.000602092,0.000602092
16,318.105,1.25376,1.87803,1.5106,1.28453,0.57813,0.43376,0.4854,0.30889,0.56056,0.42203,0.47525,0.28324,1.44682,2.06025,1.59698,1.49871,0.000585599,0.000585599,0.000585599
17,337.449,1.25152,1.83229,1.4771,1.27777,0.58596,0.45673,0.51544,0.33535,0.51853,0.50515,0.50237,0.30259,1.43707,2.18172,1.55918,1.48423,0.000569106,0.000569106,0.000569106
18,356.949,1.17829,1.81668,1.39855,1.24156,0.61268,0.49442,0.54466,0.3562,0.62683,0.4843,0.5242,0.33167,1.40409,2.05055,1.50902,1.4692,0.000552612,0.000552612,0.000552612
19,377.165,1.21611,1.83442,1.40598,1.26586,0.70431,0.50484,0.54934,0.35132,0.69317,0.50315,0.54278,0.31825,1.4417,2.13739,1.46375,1.48845,0.000536119,0.000536119,0.000536119
20,396.798,1.19765,1.77368,1.37449,1.25829,0.52342,0.52973,0.53653,0.33548,0.51173,0.51899,0.51807,0.31828,1.42649,2.07266,1.49213,1.48252,0.000519625,0.000519625,0.000519625
21,416.412,1.15945,1.72277,1.34228,1.22643,0.67967,0.47793,0.53844,0.3479,0.66868,0.46927,0.53267,0.31399,1.44158,2.09249,1.4807,1.48807,0.000503132,0.000503132,0.000503132
22,436.105,1.19798,1.79211,1.29959,1.22432,0.64986,0.46828,0.54161,0.35378,0.64716,0.46747,0.53435,0.32322,1.40821,2.07551,1.41342,1.46722,0.000486639,0.000486639,0.000486639
23,455.812,1.1686,1.72823,1.30125,1.21744,0.5482,0.5412,0.55934,0.36341,0.54269,0.53462,0.54839,0.33311,1.39551,2.04337,1.46416,1.47632,0.000470145,0.000470145,0.000470145
24,475.905,1.1394,1.69962,1.27399,1.21437,0.53006,0.58869,0.53969,0.34507,0.67266,0.45536,0.51603,0.29369,1.39092,2.03714,1.50046,1.4635,0.000453652,0.000453652,0.000453652
25,495.668,1.1371,1.67758,1.26867,1.19644,0.59897,0.45747,0.51084,0.32628,0.58627,0.44879,0.48344,0.30305,1.37405,1.96073,1.51288,1.46208,0.000437158,0.000437158,0.000437158
26,515.22,1.11891,1.67802,1.20818,1.19384,0.62065,0.49764,0.55095,0.3696,0.63194,0.49153,0.5544,0.34883,1.37147,2.00767,1.40057,1.41832,0.000420665,0.000420665,0.000420665
27,535.233,1.11485,1.65416,1.18875,1.1876,0.52368,0.49019,0.5115,0.33369,0.56743,0.47623,0.50131,0.31262,1.37001,2.00975,1.45454,1.43239,0.000404172,0.000404172,0.000404172
28,554.752,1.09638,1.59955,1.19154,1.18883,0.6657,0.49596,0.55834,0.36338,0.66457,0.49271,0.55495,0.34524,1.35504,1.96732,1.43662,1.42938,0.000387678,0.000387678,0.000387678
29,574.502,1.10608,1.58833,1.17799,1.18037,0.5267,0.54988,0.55583,0.35748,0.52001,0.55056,0.54111,0.3307,1.33803,1.94074,1.3889,1.43094,0.000371185,0.000371185,0.000371185
30,594.193,1.09849,1.60914,1.12784,1.16096,0.61958,0.51962,0.572,0.37788,0.61649,0.51669,0.55943,0.35309,1.34592,1.9776,1.40346,1.4371,0.000354691,0.000354691,0.000354691
31,614.023,1.05372,1.61252,1.08721,1.163,0.61383,0.5617,0.58042,0.38608,0.63903,0.5025,0.55357,0.34909,1.34392,2.01966,1.42193,1.42402,0.000338198,0.000338198,0.000338198
32,634.037,1.07678,1.61299,1.10625,1.17098,0.57542,0.59128,0.58817,0.38207,0.58219,0.5656,0.56631,0.3454,1.37098,2.02077,1.34306,1.4439,0.000321705,0.000321705,0.000321705
33,653.866,1.0583,1.56149,1.058,1.14995,0.61936,0.49846,0.56032,0.37473,0.62461,0.49366,0.54971,0.33753,1.34361,1.98358,1.3544,1.41884,0.000305211,0.000305211,0.000305211
