epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9536,1.4005,2.50514,3.57778,1.35139,0.35421,0.25071,0.19091,0.10836,0.32018,0.27176,0.18488,0.09777,1.59596,2.65585,2.67127,1.5533,0.000235521,0.000235521,0.000235521
2,38.0703,1.44287,2.2722,2.34871,1.3849,0.40622,0.21245,0.16374,0.08662,0.40802,0.2303,0.16679,0.07899,1.73463,2.88115,2.77706,1.70186,0.000464145,0.000464145,0.000464145
3,55.9352,1.50424,2.29663,2.29246,1.41269,0.49279,0.1774,0.19045,0.10165,0.48989,0.17567,0.18825,0.0866,1.78761,3.02259,2.9682,1.81178,0.000683345,0.000683345,0.000683345
4,73.5349,1.53847,2.29386,2.25916,1.43915,0.46555,0.22687,0.17515,0.08468,0.46734,0.22025,0.177,0.08256,1.84322,2.83835,2.9474,1.78366,0.000671588,0.000671588,0.000671588
5,91.355,1.46489,2.2869,2.12503,1.42027,0.45166,0.21876,0.24108,0.14168,0.30844,0.25171,0.24369,0.12643,1.6697,2.65744,2.47476,1.63392,0.000657451,0.000657451,0.000657451
6,109.363,1.47284,2.20374,2.04677,1.40391,0.5527,0.30585,0.2854,0.15022,0.35365,0.30763,0.27689,0.14133,1.69098,2.53742,2.35029,1.6366,0.000643314,0.000643314,0.000643314
7,127.36,1.45478,2.18705,2.00458,1.38668,0.53492,0.28928,0.30022,0.15347,0.5346,0.28625,0.28959,0.14893,1.65714,2.42812,2.33752,1.63062,0.000629177,0.000629177,0.000629177
8,145.202,1.40657,2.16927,1.92024,1.35984,0.47566,0.28181,0.27408,0.14368,0.61543,0.27018,0.27025,0.14449,1.66672,2.60349,2.26323,1.59933,0.00061504,0.00061504,0.00061504
9,162.906,1.38141,2.13179,1.86827,1.34777,0.70791,0.32295,0.35829,0.20537,0.694,0.31442,0.34691,0.18672,1.60124,2.43979,2.05497,1.5705,0.000600902,0.000600902,0.000600902
10,180.723,1.3631,2.08889,1.8565,1.31994,0.64832,0.30212,0.33664,0.19817,0.65021,0.30416,0.33975,0.19695,1.56531,2.3452,2.11956,1.53728,0.000586765,0.000586765,0.000586765
11,198.104,1.3438,2.1021,1.81728,1.32893,0.48898,0.33099,0.3377,0.19267,0.48272,0.33215,0.33569,0.1819,1.6276,2.55302,2.12519,1.56587,0.000572628,0.000572628,0.000572628
12,215.522,1.34384,2.01228,1.75147,1.31426,0.5187,0.35863,0.36993,0.20635,0.51236,0.35818,0.3622,0.19526,1.55169,2.31144,1.97141,1.53182,0.000558491,0.000558491,0.000558491
13,233.188,1.30785,1.99669,1.68364,1.29276,0.72435,0.34575,0.37966,0.2265,0.71852,0.35452,0.37552,0.22013,1.53766,2.30774,1.98124,1.51051,0.000544354,0.000544354,0.000544354
14,250.754,1.27011,1.94651,1.66151,1.28214,0.48379,0.38092,0.36467,0.20765,0.48181,0.37729,0.35882,0.19939,1.52987,2.34716,2.17547,1.52202,0.000530216,0.000530216,0.000530216
15,268.21,1.26692,1.92614,1.61869,1.26575,0.58923,0.3484,0.36198,0.20664,0.58975,0.34037,0.35705,0.19382,1.56096,2.35882,1.9707,1.5441,0.000516079,0.000516079,0.000516079
16,285.64,1.25794,1.90357,1.58037,1.27585,0.49543,0.36265,0.36602,0.21773,0.52126,0.36571,0.36786,0.2084,1.53394,2.28385,2.04453,1.54269,0.000501942,0.000501942,0.000501942
17,303.083,1.2634,1.90151,1.55984,1.26207,0.49915,0.33191,0.34543,0.20845,0.5012,0.33294,0.34772,0.19493,1.5324,2.3634,2.08186,1.50341,0.000487805,0.000487805,0.000487805
18,320.494,1.20343,1.84564,1.52138,1.23478,0.54102,0.37409,0.39138,0.23515,0.54333,0.37686,0.38882,0.2193,1.51284,2.35119,1.90537,1.50706,0.000473668,0.000473668,0.000473668
