epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5869,3.74423,6.70221,5.39536,4.23826,0.00027,0.08518,0.00038,0.0001,0.00017,0.05819,0.0002,6e-05,3.6675,4.52324,4.2993,4.14779,0.000235521,0.000235521,0.000235521
2,78.1044,3.52892,4.03,4.90897,3.97799,0.0004,0.06897,0.00026,6e-05,0.0004,0.05748,0.00024,5e-05,3.7293,197.433,inf,10.3958,0.000464145,0.000464145,0.000464145
3,115.937,3.31454,3.79582,4.56981,3.63905,0.24358,0.0096,0.00859,0.00199,0.34467,0.01243,0.01032,0.00413,3.19713,4.17984,7.67473,3.5029,0.000683345,0.000683345,0.000683345
4,154.05,3.05811,3.65592,4.27961,3.32764,0.12188,0.03104,0.00821,0.00243,0.125,0.02968,0.00835,0.00241,3.06434,3.54419,4.11729,3.29079,0.000671588,0.000671588,0.000671588
5,191.895,2.86842,3.52754,4.0486,3.10926,0.5806,0.04834,0.0268,0.01073,0.58024,0.04329,0.02586,0.01006,3.05431,3.49957,3.70871,3.17428,0.000657451,0.000657451,0.000657451
6,230.128,2.71408,3.39809,3.86437,2.94527,0.53274,0.03388,0.03233,0.01285,0.52921,0.03388,0.03207,0.01261,2.86425,3.40093,3.65221,2.97907,0.000643314,0.000643314,0.000643314
7,268.525,2.65704,3.35319,3.78547,2.82899,0.67968,0.05063,0.03729,0.01356,0.68744,0.04487,0.03902,0.01427,2.63813,3.32696,3.53894,2.84744,0.000629177,0.000629177,0.000629177
8,307.051,2.52539,3.24966,3.67792,2.78549,0.48206,0.06552,0.04404,0.0166,0.49133,0.06483,0.04614,0.0178,2.6464,3.37925,3.65344,2.79812,0.00061504,0.00061504,0.00061504
9,345.265,2.45243,3.27221,3.53332,2.67037,0.53743,0.10391,0.0615,0.02197,0.52573,0.10187,0.06293,0.0214,2.58255,3.19487,3.36574,2.74015,0.000600902,0.000600902,0.000600902
10,383.317,2.39777,3.22247,3.47614,2.60841,0.44778,0.08805,0.0692,0.02783,0.44356,0.09742,0.06966,0.02751,2.50908,3.22099,3.26387,2.68143,0.000586765,0.000586765,0.000586765
