epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4898,1.37959,2.44553,3.19205,1.45067,0.3014,0.23054,0.22871,0.1262,0.28307,0.21811,0.19851,0.09579,1.7265,3.5518,3.22127,1.66914,0.00023593,0.00023593,0.00023593
2,77.1053,1.51135,2.47187,2.52885,1.49419,0.21724,0.26299,0.10657,0.05116,0.21613,0.26082,0.09836,0.04408,2.00028,4.17867,3.77635,1.96864,0.000467675,0.000467675,0.000467675
3,115.889,1.62771,2.59049,2.57236,1.56675,0.25038,0.2366,0.12996,0.06362,0.25104,0.22146,0.12174,0.05742,1.92923,3.43758,4.95521,2.02733,0.000693135,0.000693135,0.000693135
4,154.393,1.62518,2.53424,2.46134,1.5712,0.44243,0.22561,0.17137,0.0859,0.47947,0.1931,0.15907,0.07313,1.91355,3.26116,2.91798,1.92699,0.000685726,0.000685726,0.000685726
5,190.295,1.56683,2.48782,2.41727,1.5536,0.47585,0.27928,0.24625,0.13078,0.45891,0.26437,0.23257,0.11569,1.79909,2.8642,2.45513,1.80169,0.000676301,0.000676301,0.000676301
6,229.045,1.52161,2.45433,2.34145,1.52326,0.54057,0.22576,0.23497,0.12431,0.52919,0.21818,0.22104,0.10322,1.75179,2.90835,2.64314,1.70033,0.000666876,0.000666876,0.000666876
7,270.495,1.46504,2.35424,2.20142,1.49016,0.37905,0.2948,0.25842,0.14237,0.35843,0.29491,0.24389,0.12956,1.70243,2.73674,2.26593,1.66099,0.000657451,0.000657451,0.000657451
8,313.028,1.43665,2.31756,2.15768,1.46566,0.43918,0.3423,0.28182,0.15499,0.63314,0.26894,0.25502,0.1373,1.71785,2.8692,2.32939,1.71645,0.000648026,0.000648026,0.000648026
9,349.561,1.41164,2.23012,2.06893,1.4469,0.45144,0.28752,0.27766,0.15729,0.43003,0.27956,0.26305,0.13463,1.65919,2.65526,2.30967,1.64554,0.000638602,0.000638602,0.000638602
10,387.01,1.40929,2.28139,2.03446,1.41425,0.53224,0.25576,0.29969,0.16429,0.51486,0.25483,0.27852,0.14474,1.6822,2.69224,2.20569,1.64371,0.000629177,0.000629177,0.000629177
11,424.576,1.35667,2.1979,2.01772,1.42443,0.44165,0.32346,0.30858,0.1801,0.41939,0.34135,0.29768,0.15559,1.62393,2.67479,2.27292,1.64023,0.000619752,0.000619752,0.000619752
12,461.6,1.31707,2.1721,2.01088,1.39748,0.51165,0.29797,0.29331,0.15975,0.51325,0.29475,0.29098,0.14449,1.63114,2.6724,2.19975,1.65514,0.000610327,0.000610327,0.000610327
13,498.719,1.32289,2.15711,1.92757,1.39919,0.59806,0.32263,0.33833,0.18819,0.58718,0.31176,0.31015,0.16057,1.5814,2.57431,2.0863,1.58979,0.000600902,0.000600902,0.000600902
14,535.823,1.32051,2.10006,1.83863,1.38218,0.59906,0.28818,0.32186,0.18246,0.59412,0.27516,0.31677,0.17129,1.62336,2.61255,2.14632,1.64173,0.000591478,0.000591478,0.000591478
15,573.112,1.30446,2.07565,1.86684,1.39221,0.44632,0.33119,0.32455,0.18811,0.4482,0.33026,0.31927,0.15707,1.59894,2.63244,2.11419,1.60704,0.000582053,0.000582053,0.000582053
16,609.912,1.29061,2.06225,1.79167,1.36897,0.4722,0.39509,0.35732,0.21201,0.4644,0.38626,0.33849,0.18565,1.52867,2.54577,1.99985,1.56526,0.000572628,0.000572628,0.000572628
17,647.214,1.25807,2.01919,1.77844,1.34584,0.64693,0.30032,0.31353,0.17873,0.64119,0.29702,0.30203,0.15004,1.57614,2.54176,2.20279,1.61712,0.000563203,0.000563203,0.000563203
18,685.373,1.25476,2.0343,1.70681,1.3335,0.50113,0.35381,0.35982,0.20831,0.49499,0.35084,0.34542,0.18447,1.54255,2.60957,1.96432,1.55658,0.000553778,0.000553778,0.000553778
19,722.154,1.23521,1.97238,1.68069,1.33044,0.63251,0.33152,0.36115,0.21005,0.62531,0.33672,0.35289,0.17922,1.56463,2.57511,2.04347,1.59087,0.000544354,0.000544354,0.000544354
20,758.574,1.23385,1.97515,1.64096,1.31425,0.44713,0.37216,0.34529,0.20243,0.44591,0.36269,0.33067,0.184,1.54237,2.54684,1.98467,1.57141,0.000534929,0.000534929,0.000534929
21,797.386,1.22052,1.97236,1.64432,1.31223,0.54452,0.34384,0.33132,0.19992,0.52907,0.33755,0.32032,0.17066,1.5047,2.48194,2.14724,1.56382,0.000525504,0.000525504,0.000525504
22,834.657,1.18566,1.88461,1.59364,1.28766,0.52698,0.32064,0.34943,0.20491,0.51841,0.31182,0.33489,0.17976,1.52624,2.51905,1.98582,1.57985,0.000516079,0.000516079,0.000516079
23,874.932,1.17785,1.84638,1.57345,1.29402,0.51902,0.37569,0.36935,0.21745,0.51182,0.36525,0.35084,0.19197,1.54756,2.54231,2.06259,1.57041,0.000506654,0.000506654,0.000506654
24,914.834,1.17201,1.88399,1.56162,1.29906,0.52326,0.35408,0.36223,0.21922,0.51915,0.35051,0.34758,0.19087,1.53356,2.52364,1.9355,1.55762,0.00049723,0.00049723,0.00049723
25,950.722,1.15455,1.86863,1.53817,1.28844,0.57028,0.36014,0.37238,0.21402,0.55511,0.34388,0.35538,0.19621,1.5126,2.53637,1.94724,1.53871,0.000487805,0.000487805,0.000487805
26,988.957,1.15126,1.84332,1.49854,1.26607,0.51083,0.37343,0.36963,0.22141,0.50667,0.36822,0.35783,0.19178,1.52638,2.63609,1.92036,1.55029,0.00047838,0.00047838,0.00047838
27,1027.88,1.14213,1.85104,1.48992,1.26273,0.59854,0.38064,0.39625,0.24057,0.58813,0.36911,0.38846,0.20502,1.52294,2.49029,1.94778,1.56911,0.000468955,0.000468955,0.000468955
28,1066.17,1.11772,1.80558,1.40964,1.25261,0.46509,0.43623,0.38871,0.24216,0.45011,0.42475,0.37005,0.21195,1.48239,2.49295,1.88402,1.51145,0.00045953,0.00045953,0.00045953
29,1102.23,1.13163,1.77719,1.44409,1.26077,0.52291,0.36738,0.3576,0.21401,0.5137,0.35775,0.33196,0.18145,1.51332,2.62875,1.94461,1.56057,0.000450106,0.000450106,0.000450106
30,1139.52,1.11893,1.77914,1.39718,1.25246,0.40193,0.41059,0.38737,0.23752,0.37751,0.39087,0.36279,0.19857,1.53936,2.56659,1.91075,1.60064,0.000440681,0.000440681,0.000440681
31,1178.8,1.0961,1.73665,1.35499,1.23436,0.57643,0.39942,0.3802,0.23507,0.57524,0.39946,0.37259,0.20732,1.5021,2.59448,1.96477,1.56065,0.000431256,0.000431256,0.000431256
32,1216.47,1.07789,1.72799,1.34136,1.22424,0.52451,0.35369,0.37498,0.22066,0.51251,0.34119,0.34925,0.19353,1.53218,2.56215,1.93528,1.5672,0.000421831,0.000421831,0.000421831
33,1256.29,1.07813,1.72689,1.30951,1.23325,0.57521,0.37525,0.38523,0.22954,0.56069,0.38113,0.37234,0.19903,1.527,2.60763,1.9075,1.57551,0.000412406,0.000412406,0.000412406
34,1296.97,1.0619,1.66577,1.29249,1.21671,0.56297,0.3645,0.38539,0.24088,0.5535,0.35689,0.36855,0.19899,1.53295,2.53279,1.92373,1.57419,0.000402982,0.000402982,0.000402982
35,1334.14,1.04136,1.67109,1.29881,1.20194,0.41919,0.36295,0.38499,0.22957,0.41038,0.36176,0.37077,0.19876,1.52587,2.66179,1.91618,1.57942,0.000393557,0.000393557,0.000393557
36,1369.76,1.03865,1.67067,1.27308,1.19336,0.51413,0.38715,0.37086,0.22782,0.52541,0.36179,0.34986,0.19978,1.51404,2.62233,1.95939,1.5804,0.000384132,0.000384132,0.000384132
37,1408.94,1.03982,1.5995,1.22992,1.19504,0.59336,0.3622,0.40261,0.24267,0.58141,0.35518,0.38386,0.21297,1.49035,2.57717,1.89561,1.54621,0.000374707,0.000374707,0.000374707
38,1449.48,1.0155,1.59243,1.18651,1.18399,0.41927,0.39492,0.38268,0.23749,0.40187,0.39101,0.37055,0.2038,1.53777,2.61417,1.96466,1.58988,0.000365282,0.000365282,0.000365282
39,1493.98,1.01537,1.59756,1.16482,1.16945,0.6172,0.37651,0.38683,0.22945,0.612,0.37347,0.3825,0.20766,1.52906,2.54833,1.92504,1.57909,0.000355858,0.000355858,0.000355858
40,1532.36,0.9901,1.58145,1.15344,1.17584,0.44697,0.39782,0.38807,0.24104,0.4344,0.38524,0.36753,0.20591,1.56141,2.60876,1.98418,1.62629,0.000346433,0.000346433,0.000346433
41,1567.62,1.00144,1.58426,1.16378,1.17341,0.45025,0.40492,0.3936,0.23453,0.45598,0.37993,0.37354,0.20269,1.54172,2.62191,1.96379,1.58819,0.000337008,0.000337008,0.000337008
42,1602.88,1.00312,1.59629,1.12888,1.17581,0.46171,0.39796,0.39459,0.24086,0.439,0.38897,0.37939,0.20017,1.53992,2.66707,1.89875,1.60825,0.000327583,0.000327583,0.000327583
43,1637.99,0.98716,1.54731,1.1304,1.16845,0.43341,0.37307,0.38812,0.24559,0.42514,0.36614,0.37612,0.20411,1.54677,2.66773,1.93963,1.63188,0.000318158,0.000318158,0.000318158
44,1673.13,0.98123,1.5398,1.07925,1.15596,0.45645,0.40403,0.41727,0.26454,0.45156,0.40046,0.40611,0.23156,1.51625,2.67116,1.8819,1.57387,0.000308734,0.000308734,0.000308734
45,1709.71,0.9696,1.52702,1.09603,1.15771,0.5708,0.41602,0.41499,0.26083,0.575,0.40966,0.40342,0.22411,1.55013,2.66748,1.85601,1.61657,0.000299309,0.000299309,0.000299309
46,1745.45,0.94031,1.49944,1.05179,1.12959,0.4844,0.35046,0.38858,0.24097,0.47659,0.34264,0.38006,0.21108,1.55148,2.64978,1.97144,1.64048,0.000289884,0.000289884,0.000289884
47,1780.96,0.94602,1.48347,1.02722,1.12959,0.4811,0.3787,0.39625,0.2424,0.46145,0.37401,0.379,0.20895,1.57548,2.66595,1.98399,1.63406,0.000280459,0.000280459,0.000280459
48,1817.84,0.917,1.46418,0.99637,1.1202,0.40029,0.44569,0.4077,0.25194,0.39602,0.43937,0.39468,0.21428,1.54718,2.67558,1.97498,1.60507,0.000271034,0.000271034,0.000271034
49,1853.7,0.93814,1.43744,1.00293,1.12875,0.48445,0.39286,0.40753,0.25317,0.46619,0.3903,0.39454,0.2143,1.59007,2.62284,1.95195,1.6357,0.00026161,0.00026161,0.00026161
50,1889.39,0.92793,1.43178,0.96813,1.13122,0.46864,0.37531,0.40442,0.25416,0.48087,0.36161,0.38988,0.22199,1.56894,2.69446,1.93739,1.62685,0.000252185,0.000252185,0.000252185
51,1925.88,0.9066,1.46052,0.95816,1.10834,0.50766,0.39244,0.40986,0.25636,0.51474,0.37087,0.39496,0.22546,1.5522,2.70552,1.98683,1.64413,0.00024276,0.00024276,0.00024276
