epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6383,1.44864,2.60825,4.04874,1.43342,0.26201,0.33442,0.22339,0.12118,0.24344,0.32176,0.21075,0.1052,1.55134,2.86177,2.51607,1.52513,0.00023593,0.00023593,0.00023593
2,46.7008,1.54299,2.48242,2.59058,1.47265,0.36381,0.24463,0.20018,0.10595,0.34906,0.22455,0.18179,0.09313,1.74736,2.83014,2.66597,1.64975,0.000464547,0.000464547,0.000464547
3,67.5761,1.64837,2.53327,2.59524,1.55065,0.31165,0.22967,0.20717,0.10505,0.29596,0.23547,0.19671,0.09656,1.82686,3.09587,2.76347,1.76549,0.000683738,0.000683738,0.000683738
4,88.3176,1.62358,2.49113,2.45267,1.55329,0.39344,0.19742,0.22072,0.12052,0.4016,0.20047,0.21055,0.09773,1.766,3.00819,2.67418,1.69026,0.000671588,0.000671588,0.000671588
5,109.125,1.60918,2.51502,2.36896,1.54126,0.30023,0.30755,0.2196,0.11042,0.35988,0.24234,0.21948,0.09922,1.80093,2.70876,2.43563,1.69004,0.000657451,0.000657451,0.000657451
6,129.796,1.57494,2.4165,2.26046,1.50787,0.41568,0.35824,0.30161,0.15972,0.40173,0.33886,0.28109,0.13386,1.6857,2.90799,2.24839,1.62759,0.000643314,0.000643314,0.000643314
7,151.587,1.55948,2.43394,2.21134,1.49783,0.39206,0.29671,0.27843,0.15076,0.38484,0.3007,0.26206,0.13946,1.66936,2.68993,2.31642,1.56497,0.000629177,0.000629177,0.000629177
8,173.004,1.49455,2.35767,2.12974,1.4658,0.36965,0.34982,0.29731,0.16265,0.35297,0.33654,0.29098,0.1425,1.63547,2.70698,2.19576,1.58301,0.00061504,0.00061504,0.00061504
9,194.36,1.46451,2.259,2.0439,1.4327,0.42289,0.31511,0.28219,0.14098,0.4021,0.2921,0.26996,0.12636,1.63608,2.65158,2.1788,1.55233,0.000600902,0.000600902,0.000600902
10,214.588,1.45829,2.2696,1.95761,1.42575,0.53575,0.32067,0.33265,0.19756,0.52346,0.31183,0.31749,0.17845,1.60013,2.73287,2.1746,1.53673,0.000586765,0.000586765,0.000586765
11,235.844,1.42597,2.20985,1.91115,1.41037,0.45775,0.31956,0.33341,0.1882,0.4462,0.31347,0.31657,0.17255,1.54163,2.67337,2.17085,1.53102,0.000572628,0.000572628,0.000572628
12,256.505,1.39029,2.22567,1.88812,1.39554,0.74859,0.28235,0.36509,0.21329,0.74397,0.27574,0.34621,0.1837,1.5894,2.61743,2.04194,1.51851,0.000558491,0.000558491,0.000558491
13,277.684,1.37053,2.10865,1.80551,1.38544,0.58122,0.35682,0.36736,0.21235,0.5773,0.34222,0.34952,0.18603,1.56348,2.6769,1.94308,1.52652,0.000544354,0.000544354,0.000544354
14,299.534,1.35949,2.1029,1.78991,1.37737,0.4522,0.3917,0.36499,0.21647,0.46653,0.36805,0.36061,0.19622,1.55742,2.51997,2.01193,1.49873,0.000530216,0.000530216,0.000530216
15,321.457,1.33283,2.08379,1.72095,1.35666,0.53618,0.36325,0.36909,0.21602,0.52339,0.34019,0.34375,0.19005,1.53701,2.54427,2.04646,1.53572,0.000516079,0.000516079,0.000516079
16,343.563,1.29109,2.03607,1.66869,1.31804,0.55241,0.34894,0.3604,0.20712,0.54694,0.34409,0.35041,0.1907,1.54761,2.51095,1.97943,1.50067,0.000501942,0.000501942,0.000501942
17,364.992,1.29483,2.0381,1.6485,1.31497,0.54417,0.37136,0.36493,0.20243,0.53376,0.36036,0.34631,0.18692,1.56319,2.48831,2.03547,1.51414,0.000487805,0.000487805,0.000487805
18,386.61,1.28129,1.99467,1.60741,1.31151,0.56642,0.31656,0.37278,0.22297,0.55834,0.31313,0.3569,0.19491,1.5507,2.52365,2.03421,1.48874,0.000473668,0.000473668,0.000473668
19,408.403,1.26248,1.98905,1.5767,1.29519,0.53224,0.36079,0.37461,0.21018,0.5273,0.34892,0.35734,0.19162,1.53383,2.4907,1.97974,1.52797,0.00045953,0.00045953,0.00045953
20,429.993,1.26584,1.96611,1.55746,1.29826,0.50417,0.37557,0.36152,0.22094,0.50438,0.37308,0.35007,0.19716,1.55344,2.48974,2.01399,1.50451,0.000445393,0.000445393,0.000445393
21,451.96,1.23183,1.91794,1.51849,1.27421,0.55762,0.35329,0.37545,0.22738,0.54413,0.34417,0.36069,0.20294,1.50555,2.48983,1.91344,1.4938,0.000431256,0.000431256,0.000431256
22,474.02,1.21726,1.91536,1.48573,1.26968,0.62677,0.38386,0.38139,0.23,0.60736,0.38006,0.36997,0.2059,1.5257,2.5398,1.91886,1.49265,0.000417119,0.000417119,0.000417119
23,495.614,1.19227,1.83662,1.41988,1.25019,0.6212,0.33092,0.39109,0.22509,0.60927,0.32086,0.37141,0.20458,1.52574,2.53009,1.96678,1.50584,0.000402982,0.000402982,0.000402982
24,516.055,1.19183,1.8678,1.41515,1.24795,0.59385,0.37027,0.39839,0.23756,0.58027,0.36591,0.3869,0.21604,1.5376,2.58287,1.89921,1.48727,0.000388844,0.000388844,0.000388844
25,537.174,1.16885,1.81108,1.39271,1.24436,0.59317,0.35225,0.38968,0.23889,0.58559,0.34423,0.37467,0.21201,1.50859,2.48925,1.95358,1.47949,0.000374707,0.000374707,0.000374707
26,558.692,1.15116,1.80931,1.35231,1.21759,0.51511,0.3933,0.38783,0.23911,0.52041,0.36795,0.36884,0.2151,1.49197,2.46819,1.98139,1.47116,0.00036057,0.00036057,0.00036057
27,580.059,1.14326,1.78967,1.31358,1.217,0.41423,0.39765,0.39372,0.24783,0.40813,0.40561,0.38686,0.22204,1.52477,2.48271,1.95867,1.49892,0.000346433,0.000346433,0.000346433
28,601.227,1.13617,1.7481,1.28724,1.20651,0.57178,0.38569,0.40348,0.25507,0.59954,0.36947,0.39643,0.23139,1.49112,2.45319,1.87433,1.49608,0.000332296,0.000332296,0.000332296
29,622.369,1.11221,1.73306,1.23554,1.19697,0.59648,0.36693,0.39545,0.24971,0.58508,0.36289,0.38764,0.22693,1.50839,2.50013,1.89521,1.47804,0.000318158,0.000318158,0.000318158
30,643.339,1.10515,1.71433,1.22439,1.1794,0.61288,0.36169,0.40281,0.249,0.59889,0.35933,0.39194,0.2236,1.49295,2.51888,1.93949,1.46462,0.000304021,0.000304021,0.000304021
31,663.768,1.10317,1.69944,1.19349,1.18518,0.59775,0.37997,0.40461,0.25739,0.59062,0.3739,0.39558,0.2328,1.47889,2.50502,1.94598,1.45981,0.000289884,0.000289884,0.000289884
32,684.491,1.09625,1.67687,1.18626,1.17466,0.47204,0.35529,0.38408,0.23929,0.45803,0.3467,0.37017,0.2116,1.5149,2.5507,2.00238,1.48041,0.000275747,0.000275747,0.000275747
33,705.091,1.07581,1.66332,1.14334,1.16534,0.59885,0.39356,0.40649,0.25259,0.59537,0.39084,0.39686,0.22928,1.51795,2.57934,1.98911,1.51268,0.00026161,0.00026161,0.00026161
34,726.494,1.05577,1.62457,1.08685,1.14931,0.59381,0.37235,0.42111,0.26017,0.60891,0.36488,0.4157,0.23384,1.5021,2.51814,1.92322,1.51695,0.000247472,0.000247472,0.000247472
35,748.671,1.04555,1.6227,1.05085,1.15328,0.62591,0.37848,0.41694,0.25721,0.61867,0.37236,0.40265,0.22964,1.50602,2.55696,1.93797,1.4992,0.000233335,0.000233335,0.000233335
36,770.487,1.01829,1.55385,1.0271,1.13426,0.58938,0.41164,0.40861,0.25443,0.58577,0.40518,0.39688,0.2258,1.49126,2.58145,2.00263,1.49636,0.000219198,0.000219198,0.000219198
37,792.099,1.00977,1.5387,1.00444,1.12919,0.62348,0.35692,0.40122,0.25458,0.61898,0.3542,0.38984,0.22011,1.50818,2.625,1.94103,1.47993,0.000205061,0.000205061,0.000205061
38,813.748,1.00082,1.52163,0.99126,1.11375,0.60788,0.40989,0.41641,0.26124,0.58873,0.38489,0.39906,0.23223,1.4887,2.68218,2.02085,1.48814,0.000190924,0.000190924,0.000190924
39,834.9,0.99634,1.54418,0.96596,1.11163,0.56798,0.38532,0.39991,0.25049,0.5767,0.38323,0.39092,0.21871,1.50636,2.58719,2.08143,1.51881,0.000176786,0.000176786,0.000176786
