epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.008,1.3819,2.43728,3.4775,1.36569,0.23699,0.29449,0.21583,0.11956,0.23489,0.28805,0.20606,0.10383,1.59068,2.83826,2.52724,1.53712,0.00023593,0.00023593,0.00023593
2,45.9487,1.42232,2.26647,2.36776,1.36876,0.4189,0.25978,0.24813,0.1366,0.40191,0.24273,0.22783,0.11608,1.70082,3.03242,2.36191,1.63858,0.000464547,0.000464547,0.000464547
3,68.0892,1.49983,2.37999,2.34595,1.4093,0.44719,0.21013,0.21997,0.11251,0.44139,0.1977,0.20955,0.0945,1.82037,3.07102,2.6801,1.75924,0.000683738,0.000683738,0.000683738
4,89.8461,1.5274,2.37766,2.21955,1.43633,0.33454,0.26429,0.22164,0.12426,0.3538,0.23252,0.20237,0.10075,1.82514,2.8949,2.45527,1.69653,0.000671588,0.000671588,0.000671588
5,111.379,1.46467,2.307,2.15284,1.39961,0.4048,0.26995,0.24492,0.13021,0.41948,0.2642,0.24106,0.11737,1.6757,2.83634,2.32712,1.60141,0.000657451,0.000657451,0.000657451
6,132.896,1.43738,2.27982,2.13986,1.39189,0.50473,0.32261,0.27144,0.14458,0.48501,0.29926,0.25418,0.12636,1.65664,2.76928,2.29856,1.58113,0.000643314,0.000643314,0.000643314
7,154.865,1.41098,2.23393,2.00362,1.36898,0.46718,0.30003,0.28718,0.17109,0.47298,0.29766,0.28153,0.1561,1.64192,2.64531,2.28913,1.5754,0.000629177,0.000629177,0.000629177
8,176.25,1.38771,2.18574,1.96246,1.35917,0.39474,0.32353,0.30735,0.18301,0.39721,0.32039,0.29815,0.16079,1.57665,2.67648,2.24552,1.54555,0.00061504,0.00061504,0.00061504
9,197.661,1.36831,2.15476,1.88646,1.33978,0.46782,0.35951,0.34145,0.19198,0.46358,0.35107,0.32359,0.17007,1.6586,2.61607,2.11132,1.58712,0.000600902,0.000600902,0.000600902
10,219.547,1.37442,2.16614,1.83554,1.32533,0.48289,0.29121,0.3197,0.1732,0.4603,0.27453,0.29837,0.15866,1.6092,2.60331,2.11744,1.58556,0.000586765,0.000586765,0.000586765
11,240.913,1.31533,2.05722,1.81877,1.32487,0.58445,0.2945,0.33192,0.19369,0.57395,0.28196,0.31465,0.175,1.59314,2.61467,2.14753,1.5601,0.000572628,0.000572628,0.000572628
12,262.53,1.28839,2.07717,1.80502,1.30518,0.48775,0.33494,0.34441,0.19833,0.48646,0.32912,0.3322,0.18209,1.56933,2.57035,2.04516,1.54546,0.000558491,0.000558491,0.000558491
