epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9028,1.3885,2.42018,3.48165,1.37509,0.38017,0.28001,0.24334,0.14352,0.3711,0.26973,0.2328,0.11401,1.58249,3.09445,2.61923,1.52489,0.00023593,0.00023593,0.00023593
2,45.7387,1.41651,2.26958,2.36548,1.36739,0.45051,0.19128,0.18334,0.09782,0.41448,0.20525,0.17117,0.08682,1.79254,3.07493,2.59981,1.72994,0.000464547,0.000464547,0.000464547
3,67.4164,1.52416,2.38279,2.35692,1.43365,0.35927,0.33537,0.24035,0.13568,0.33927,0.3086,0.23083,0.11523,1.72541,3.03396,2.70224,1.68271,0.000683738,0.000683738,0.000683738
4,88.8794,1.50797,2.31124,2.20518,1.4241,0.34697,0.26862,0.24361,0.12564,0.35704,0.25391,0.22843,0.10418,1.77762,2.85351,2.31669,1.71298,0.000671588,0.000671588,0.000671588
5,110.659,1.46577,2.28159,2.15538,1.40622,0.47794,0.27297,0.2524,0.13722,0.46884,0.26582,0.23896,0.12124,1.71999,2.86498,2.61275,1.64837,0.000657451,0.000657451,0.000657451
6,132.228,1.44448,2.26964,2.09849,1.40132,0.546,0.33587,0.29298,0.16054,0.53668,0.32711,0.28096,0.13333,1.68621,2.6751,2.41566,1.61968,0.000643314,0.000643314,0.000643314
7,153.747,1.42644,2.23382,1.99087,1.37701,0.47175,0.28372,0.27163,0.15704,0.47184,0.28059,0.26374,0.13789,1.6429,2.67233,2.18758,1.5877,0.000629177,0.000629177,0.000629177
8,175.064,1.3716,2.1774,1.93961,1.35004,0.42868,0.33186,0.31001,0.17509,0.4342,0.33087,0.29782,0.15524,1.62555,2.73044,2.1027,1.61246,0.00061504,0.00061504,0.00061504
9,196.769,1.36093,2.106,1.87161,1.3394,0.43633,0.32646,0.3391,0.19194,0.42319,0.31682,0.32017,0.16861,1.56865,2.63803,2.04338,1.53871,0.000600902,0.000600902,0.000600902
10,218.026,1.34974,2.13763,1.82863,1.31827,0.45529,0.31398,0.32654,0.17256,0.56716,0.31038,0.31943,0.16317,1.61422,2.58156,2.08949,1.57026,0.000586765,0.000586765,0.000586765
11,239.603,1.32836,2.08148,1.8348,1.33889,0.50885,0.3494,0.34125,0.20886,0.49121,0.34152,0.32758,0.1845,1.59568,2.67521,2.09455,1.56308,0.000572628,0.000572628,0.000572628
12,260.575,1.29299,2.02155,1.80498,1.30745,0.49188,0.3374,0.32685,0.19201,0.47873,0.33634,0.31736,0.17083,1.56869,2.60931,2.06896,1.52831,0.000558491,0.000558491,0.000558491
13,281.9,1.28314,2.05125,1.76319,1.28996,0.59983,0.30466,0.36305,0.2065,0.58706,0.29884,0.34314,0.18273,1.56782,2.56835,2.09284,1.54686,0.000544354,0.000544354,0.000544354
14,303.422,1.284,1.98071,1.65076,1.28463,0.55708,0.31424,0.35071,0.19838,0.54286,0.30629,0.33743,0.18216,1.58133,2.59628,2.03893,1.51237,0.000530216,0.000530216,0.000530216
15,324.806,1.27927,1.99205,1.69457,1.28731,0.49828,0.32514,0.34769,0.21228,0.485,0.32455,0.33736,0.1796,1.51078,2.56961,2.09928,1.48757,0.000516079,0.000516079,0.000516079
16,346.296,1.24691,1.95956,1.60976,1.25664,0.57716,0.36516,0.37559,0.22469,0.57138,0.35662,0.36118,0.20898,1.56504,2.51045,2.01077,1.52957,0.000501942,0.000501942,0.000501942
17,367.898,1.24785,1.94447,1.58591,1.26219,0.53714,0.35068,0.34596,0.20469,0.53195,0.336,0.32927,0.18352,1.54481,2.50602,2.05589,1.53874,0.000487805,0.000487805,0.000487805
18,388.987,1.23075,1.92522,1.54471,1.24583,0.50827,0.35676,0.36605,0.21598,0.49307,0.34864,0.34346,0.1844,1.51879,2.60982,2.03811,1.49071,0.000473668,0.000473668,0.000473668
19,409.971,1.203,1.89943,1.51012,1.23454,0.56515,0.36476,0.37525,0.23304,0.56187,0.35985,0.36346,0.20672,1.56908,2.53862,2.01182,1.55161,0.00045953,0.00045953,0.00045953
20,431.855,1.20224,1.82157,1.48833,1.21625,0.46875,0.44916,0.36975,0.22238,0.46954,0.44419,0.36489,0.20587,1.49247,2.51291,1.95245,1.50673,0.000445393,0.000445393,0.000445393
21,453.103,1.1823,1.87169,1.47344,1.22278,0.53207,0.41277,0.39764,0.24374,0.52886,0.41048,0.38932,0.21053,1.47803,2.53269,1.98675,1.49384,0.000431256,0.000431256,0.000431256
22,474.494,1.13934,1.76796,1.40993,1.19705,0.54432,0.35581,0.36973,0.21704,0.54007,0.34529,0.35877,0.19072,1.49083,2.50458,2.01069,1.47663,0.000417119,0.000417119,0.000417119
23,495.59,1.13909,1.76372,1.40549,1.19753,0.5496,0.37829,0.37559,0.22082,0.54122,0.36979,0.36411,0.19264,1.51924,2.50452,2.03804,1.51937,0.000402982,0.000402982,0.000402982
24,516.439,1.13275,1.81115,1.39839,1.20069,0.55431,0.39056,0.39726,0.23686,0.57783,0.36402,0.38441,0.21403,1.54642,2.54556,2.09345,1.51241,0.000388844,0.000388844,0.000388844
25,538.017,1.12013,1.74809,1.34039,1.20038,0.56105,0.40449,0.40607,0.2451,0.55801,0.39302,0.3911,0.21621,1.51185,2.48006,1.94252,1.49933,0.000374707,0.000374707,0.000374707
