epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.264,3.73663,7.73434,5.42949,4.2002,0.00041,0.09229,0.00037,0.00011,0.00023,0.06187,0.0002,6e-05,3.68526,4.77674,4.30432,4.12812,0.000235521,0.000235521,0.000235521
2,28.7033,3.67312,4.18416,5.17285,3.97104,0.00056,0.11528,0.00067,0.00019,0.00046,0.1028,0.00055,0.00015,3.52723,4.40644,4.19111,3.81276,0.000464145,0.000464145,0.000464145
3,40.8434,3.43966,3.91429,4.85691,3.62563,0.00063,0.10654,0.00057,0.00015,0.00046,0.08988,0.00049,0.00014,3.30035,5.23746,4.25536,3.54414,0.000683345,0.000683345,0.000683345
4,51.8924,3.18294,3.80116,4.61477,3.35286,0.00241,0.18212,0.00369,0.00092,0.50475,0.07379,0.00472,0.00125,3.07374,3.79305,3.98032,3.21207,0.000671588,0.000671588,0.000671588
5,62.9472,3.05585,3.67606,4.37909,3.17283,0.40804,0.02494,0.01062,0.00452,0.61039,0.00941,0.01102,0.00233,2.95464,3.66212,3.90887,3.13928,0.000657451,0.000657451,0.000657451
6,74.1405,2.90567,3.54178,4.18376,3.02728,0.52128,0.02204,0.01656,0.00528,0.6345,0.02337,0.02532,0.00622,2.94662,3.46907,3.95834,3.03371,0.000643314,0.000643314,0.000643314
7,86.1536,2.8238,3.48321,4.07239,2.92619,0.62768,0.03184,0.02923,0.00775,0.63406,0.03939,0.02746,0.00745,2.91244,3.40734,3.68019,3.01043,0.000629177,0.000629177,0.000629177
8,97.3782,2.73358,3.38611,3.95938,2.8282,0.55167,0.04848,0.03756,0.01304,0.55985,0.04821,0.03917,0.01172,2.83516,3.34461,3.53317,2.87745,0.00061504,0.00061504,0.00061504
9,108.57,2.64143,3.3413,3.85768,2.74197,0.64832,0.09214,0.05053,0.01702,0.86378,0.04713,0.0513,0.01653,2.71797,3.27455,3.61755,2.78945,0.000600902,0.000600902,0.000600902
10,120.845,2.52307,3.29594,3.73763,2.66716,0.1663,0.11694,0.04673,0.01605,0.37132,0.067,0.04775,0.01737,2.65301,3.22401,3.67793,2.72719,0.000586765,0.000586765,0.000586765
11,132.118,2.47613,3.18098,3.63693,2.62501,0.56355,0.07753,0.03951,0.01392,0.56358,0.07403,0.03835,0.01336,2.63786,3.17511,3.45046,2.68172,0.000572628,0.000572628,0.000572628
12,143.545,2.39665,3.15733,3.49434,2.54922,0.51762,0.09888,0.06162,0.02274,0.62968,0.09949,0.06546,0.02204,2.52893,3.16,3.3672,2.64942,0.000558491,0.000558491,0.000558491
13,155.739,2.3466,3.1414,3.43485,2.48309,0.58722,0.09566,0.07255,0.0284,0.69411,0.10096,0.07723,0.02829,2.47279,3.05959,3.28549,2.58074,0.000544354,0.000544354,0.000544354
14,167.26,2.31849,3.13849,3.37142,2.46846,0.43133,0.13061,0.07462,0.02791,0.42216,0.13029,0.07781,0.02966,2.43003,3.04851,3.45643,2.58282,0.000530216,0.000530216,0.000530216
15,178.806,2.25584,3.06787,3.30448,2.40415,0.40614,0.13052,0.08216,0.03091,0.40184,0.1298,0.08439,0.02897,2.39501,3.01262,3.17576,2.51217,0.000516079,0.000516079,0.000516079
16,191.126,2.21311,3.03215,3.23232,2.33989,0.524,0.12568,0.09153,0.03524,0.55631,0.09373,0.09424,0.03626,2.31184,3.07772,3.29368,2.47904,0.000501942,0.000501942,0.000501942
17,202.484,2.17099,2.9628,3.21073,2.30552,0.40941,0.12907,0.08831,0.03697,0.40583,0.12889,0.08552,0.03615,2.27442,3.05557,3.11688,2.40808,0.000487805,0.000487805,0.000487805
18,213.542,2.102,2.94044,3.09506,2.25592,0.45052,0.14249,0.11946,0.04866,0.37548,0.1451,0.10858,0.04717,2.20795,3.03736,2.9584,2.35142,0.000473668,0.000473668,0.000473668
19,225.477,2.10454,2.96373,3.14107,2.25967,0.48084,0.13665,0.12545,0.04967,0.58634,0.12905,0.12056,0.04796,2.20381,2.95717,2.98526,2.34694,0.00045953,0.00045953,0.00045953
20,236.982,2.04835,2.89719,2.94446,2.16953,0.68288,0.14187,0.14172,0.06272,0.67993,0.13845,0.13737,0.06029,2.14926,2.93363,2.98934,2.288,0.000445393,0.000445393,0.000445393
21,248.546,2.02787,2.89857,2.95082,2.16684,0.58614,0.13815,0.13307,0.05944,0.58261,0.14864,0.13218,0.06032,2.11324,2.93179,2.96507,2.25808,0.000431256,0.000431256,0.000431256
22,260.824,1.99841,2.87093,2.9015,2.14023,0.64868,0.14954,0.14064,0.06185,0.6407,0.14797,0.13801,0.06033,2.1186,2.90693,2.88761,2.24699,0.000417119,0.000417119,0.000417119
