epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.3012,1.43844,2.50194,2.97934,1.479,0.59117,0.19016,0.1504,0.07748,0.59203,0.19765,0.15422,0.0649,1.87784,3.46502,3.27247,1.97302,0.000235521,0.000235521,0.000235521
2,75.9196,1.56046,2.54582,2.55917,1.59028,0.49254,0.15921,0.12855,0.0647,0.48205,0.16132,0.11671,0.05437,1.96554,4.19664,3.37066,1.94873,0.000464145,0.000464145,0.000464145
3,112.343,1.66925,2.61891,2.60683,1.65667,0.38189,0.18261,0.08479,0.03972,0.38409,0.18872,0.08753,0.0399,1.98319,3.27764,5.38841,2.10549,0.000683345,0.000683345,0.000683345
4,148.82,1.67444,2.59012,2.56073,1.65652,0.56795,0.13381,0.11074,0.05444,0.55992,0.12836,0.1031,0.04945,2.04208,3.15281,5.4001,2.08554,0.000671588,0.000671588,0.000671588
5,184.556,1.61633,2.51507,2.41402,1.63235,0.56024,0.19361,0.17901,0.09409,0.55424,0.19842,0.1781,0.0963,1.8433,3.06506,2.80716,1.91757,0.000657451,0.000657451,0.000657451
6,221.174,1.57063,2.43028,2.30727,1.59419,0.53549,0.24404,0.19803,0.09496,0.56426,0.23069,0.19806,0.08895,1.83818,2.67496,2.70914,1.87859,0.000643314,0.000643314,0.000643314
7,256.917,1.54483,2.36128,2.22353,1.56043,0.63917,0.25064,0.24244,0.12681,0.63567,0.25161,0.23633,0.12503,1.74504,2.62913,2.48667,1.74945,0.000629177,0.000629177,0.000629177
8,293.33,1.47988,2.33162,2.10876,1.52567,0.61905,0.2489,0.2457,0.13536,0.62069,0.25145,0.24381,0.13027,1.69608,2.62815,2.41868,1.74717,0.00061504,0.00061504,0.00061504
9,329.657,1.47309,2.30877,2.05935,1.51051,0.55469,0.27975,0.2354,0.13122,0.55146,0.27776,0.23191,0.12692,1.67521,2.53824,2.47352,1.75507,0.000600902,0.000600902,0.000600902
10,365.402,1.42789,2.25425,2.01657,1.47622,0.56288,0.26279,0.24447,0.13884,0.57755,0.25479,0.24685,0.1293,1.66816,2.53125,2.33827,1.71958,0.000586765,0.000586765,0.000586765
11,401.61,1.41146,2.24054,1.98206,1.48307,0.45261,0.28585,0.28918,0.16934,0.468,0.28373,0.28893,0.15984,1.67089,2.54829,2.20688,1.71411,0.000572628,0.000572628,0.000572628
12,438.398,1.41014,2.19112,1.93424,1.46072,0.45803,0.27326,0.29136,0.16584,0.45983,0.2804,0.28637,0.15152,1.61123,2.43246,2.12661,1.65632,0.000558491,0.000558491,0.000558491
13,473.896,1.37198,2.14151,1.83797,1.43162,0.61162,0.28605,0.31374,0.17772,0.54833,0.30234,0.30616,0.17016,1.60155,2.4483,2.14962,1.7113,0.000544354,0.000544354,0.000544354
14,510.326,1.34246,2.11347,1.8294,1.434,0.62246,0.31624,0.32134,0.18646,0.62794,0.31882,0.32278,0.18102,1.56139,2.37488,2.09078,1.64799,0.000530216,0.000530216,0.000530216
15,546.699,1.32751,2.06778,1.80057,1.41705,0.42712,0.3279,0.2835,0.15658,0.42586,0.3275,0.28903,0.1567,1.58128,2.42643,2.28621,1.68543,0.000516079,0.000516079,0.000516079
16,582.469,1.31544,2.04418,1.74705,1.4235,0.58434,0.32972,0.34122,0.20957,0.67164,0.29479,0.33678,0.19788,1.55683,2.43858,2.01279,1.64191,0.000501942,0.000501942,0.000501942
