epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.5528,1.43115,2.51175,3.16856,1.4128,0.21377,0.18922,0.12851,0.06963,0.20886,0.19291,0.133,0.0654,1.6815,2.8674,2.67754,1.73029,0.000235521,0.000235521,0.000235521
2,62.1633,1.52793,2.47095,2.42111,1.5132,0.59264,0.16739,0.1351,0.07446,0.59476,0.16407,0.13021,0.06415,1.98257,3.56503,4.08474,2.04146,0.000464145,0.000464145,0.000464145
3,92.339,1.59534,2.44899,2.44647,1.54061,0.50669,0.17825,0.17018,0.08544,0.51841,0.17682,0.16948,0.08009,1.94768,3.16578,3.15355,1.95414,0.000683345,0.000683345,0.000683345
4,122.722,1.62183,2.4562,2.38155,1.56501,0.57725,0.21453,0.20269,0.10495,0.58977,0.20752,0.20901,0.10605,1.92287,3.13746,2.98491,1.968,0.000671588,0.000671588,0.000671588
5,153.296,1.57108,2.46518,2.30075,1.54657,0.28319,0.21243,0.16329,0.08462,0.27805,0.21988,0.16113,0.07812,1.93855,2.91731,3.05507,1.9299,0.000657451,0.000657451,0.000657451
6,183.2,1.55004,2.3461,2.20816,1.52801,0.40361,0.23748,0.21351,0.09923,0.40467,0.2437,0.20753,0.09846,1.81439,2.77684,2.60907,1.80512,0.000643314,0.000643314,0.000643314
7,212.953,1.54436,2.3361,2.17831,1.50978,0.62588,0.21505,0.23087,0.12297,0.63373,0.20321,0.2196,0.11357,1.80754,2.72991,2.60825,1.79299,0.000629177,0.000629177,0.000629177
8,243.537,1.46994,2.29953,2.06873,1.47461,0.40742,0.29938,0.2571,0.13781,0.41712,0.30194,0.26454,0.13464,1.71838,2.6086,2.31064,1.72368,0.00061504,0.00061504,0.00061504
9,273.872,1.46551,2.27004,2.0028,1.46322,0.58988,0.30188,0.30671,0.17182,0.58161,0.29715,0.29978,0.16526,1.69629,2.47118,2.22994,1.68204,0.000600902,0.000600902,0.000600902
10,304.049,1.43445,2.19994,1.95704,1.43464,0.64401,0.33645,0.34683,0.19883,0.66383,0.33693,0.35029,0.1925,1.5942,2.48036,2.18241,1.6469,0.000586765,0.000586765,0.000586765
11,334.658,1.38347,2.19734,1.92561,1.43202,0.53188,0.26646,0.3001,0.16625,0.52642,0.26983,0.29779,0.15475,1.64778,2.51125,2.17138,1.65494,0.000572628,0.000572628,0.000572628
12,365.763,1.38436,2.09015,1.86331,1.41637,0.57076,0.28415,0.29219,0.16645,0.57607,0.28267,0.28904,0.15269,1.5703,2.38122,2.1241,1.60898,0.000558491,0.000558491,0.000558491
13,395.583,1.3559,2.07454,1.76184,1.38769,0.63876,0.31421,0.33566,0.19761,0.63753,0.3126,0.33916,0.19176,1.57244,2.38563,2.04897,1.60503,0.000544354,0.000544354,0.000544354
14,425.593,1.32091,2.02793,1.74043,1.36815,0.57658,0.29348,0.32422,0.19381,0.55349,0.29943,0.3266,0.1853,1.5642,2.44037,2.09389,1.59346,0.000530216,0.000530216,0.000530216
15,455.642,1.30964,2.00043,1.70494,1.37045,0.5874,0.34432,0.3386,0.18892,0.58786,0.34861,0.34209,0.18057,1.63839,2.47667,2.15612,1.69522,0.000516079,0.000516079,0.000516079
16,485.392,1.29064,2.00533,1.6615,1.35577,0.56533,0.35725,0.3479,0.20215,0.55888,0.35304,0.33922,0.1856,1.55361,2.37575,2.07398,1.60843,0.000501942,0.000501942,0.000501942
17,515.306,1.28603,1.97838,1.66209,1.35011,0.50911,0.3337,0.33701,0.19326,0.50117,0.32941,0.3274,0.17734,1.59036,2.39618,2.08793,1.63007,0.000487805,0.000487805,0.000487805
18,545.336,1.24702,1.94109,1.62749,1.32969,0.35037,0.39877,0.35616,0.20649,0.34883,0.39183,0.34833,0.20115,1.53392,2.33335,1.97918,1.58595,0.000473668,0.000473668,0.000473668
19,575.813,1.24498,1.95647,1.59749,1.34516,0.62379,0.32977,0.36274,0.21745,0.63166,0.33793,0.3717,0.21177,1.52003,2.39101,1.95277,1.60175,0.00045953,0.00045953,0.00045953
20,606.23,1.2474,1.87777,1.53873,1.3162,0.49286,0.3787,0.36329,0.21433,0.49376,0.36838,0.35532,0.19987,1.56769,2.35444,1.88992,1.61863,0.000445393,0.000445393,0.000445393
21,636.243,1.22797,1.88765,1.54707,1.31302,0.53899,0.37592,0.37326,0.21777,0.53595,0.37459,0.36988,0.20671,1.53503,2.36607,2.03672,1.6154,0.000431256,0.000431256,0.000431256
22,666.046,1.17219,1.80302,1.46843,1.28144,0.55591,0.3749,0.38173,0.23192,0.61474,0.34833,0.36637,0.21095,1.51841,2.55355,1.96929,1.58666,0.000417119,0.000417119,0.000417119
23,696.41,1.17373,1.83801,1.47257,1.25852,0.65382,0.34168,0.3619,0.21844,0.64991,0.3394,0.36458,0.20472,1.53817,2.38766,1.99126,1.65267,0.000402982,0.000402982,0.000402982
24,726.377,1.15038,1.76173,1.4059,1.26959,0.43715,0.40311,0.3789,0.23286,0.44457,0.40374,0.38157,0.22154,1.50604,2.35395,1.96028,1.58463,0.000388844,0.000388844,0.000388844
25,756.717,1.15836,1.80964,1.38662,1.2575,0.59504,0.35471,0.3904,0.22444,0.61341,0.34309,0.37849,0.21096,1.50701,2.34094,1.92134,1.59881,0.000374707,0.000374707,0.000374707
26,786.34,1.13867,1.73317,1.34989,1.25167,0.65206,0.35606,0.39396,0.23779,0.64871,0.35168,0.38785,0.22742,1.47601,2.27829,1.98307,1.56837,0.00036057,0.00036057,0.00036057
27,816.821,1.13794,1.72746,1.32995,1.23736,0.41774,0.38969,0.38389,0.2392,0.40617,0.38124,0.37652,0.22635,1.50296,2.32945,1.96798,1.60688,0.000346433,0.000346433,0.000346433
28,846.746,1.11471,1.68055,1.32801,1.23666,0.51395,0.42924,0.39594,0.23808,0.57213,0.3826,0.39118,0.22641,1.52244,2.25465,1.88924,1.61137,0.000332296,0.000332296,0.000332296
29,876.585,1.10736,1.7034,1.2648,1.21849,0.4643,0.39013,0.39172,0.23736,0.46132,0.38861,0.39008,0.22784,1.48203,2.30796,1.94279,1.57326,0.000318158,0.000318158,0.000318158
30,906.754,1.105,1.69598,1.22923,1.218,0.65073,0.35942,0.3865,0.23611,0.64724,0.36962,0.39159,0.2192,1.5131,2.31088,2.0476,1.62286,0.000304021,0.000304021,0.000304021
31,936.613,1.07926,1.62193,1.23178,1.20573,0.46564,0.39635,0.39504,0.2494,0.45053,0.38716,0.38094,0.23378,1.4734,2.2497,1.93245,1.55977,0.000289884,0.000289884,0.000289884
32,967.076,1.04547,1.61027,1.17814,1.19082,0.57271,0.37776,0.40735,0.24707,0.56267,0.36823,0.39633,0.23328,1.52591,2.30733,1.93792,1.61133,0.000275747,0.000275747,0.000275747
33,997.712,1.05959,1.58767,1.1729,1.18971,0.47184,0.41561,0.40842,0.24451,0.45239,0.42189,0.4019,0.23699,1.51513,2.29442,1.97651,1.58925,0.00026161,0.00026161,0.00026161
34,1028.07,1.04399,1.59004,1.15405,1.1906,0.45083,0.41337,0.40295,0.25197,0.44507,0.40913,0.39633,0.2394,1.45593,2.32135,1.86955,1.54733,0.000247472,0.000247472,0.000247472
35,1058.46,1.02684,1.55452,1.13123,1.17992,0.56251,0.42029,0.4038,0.25694,0.54885,0.41455,0.39765,0.23747,1.41857,2.24581,1.87876,1.5359,0.000233335,0.000233335,0.000233335
36,1088.77,0.99947,1.51158,1.08551,1.16175,0.48144,0.43644,0.42052,0.26268,0.4712,0.42765,0.41536,0.24216,1.48666,2.32901,1.93582,1.57348,0.000219198,0.000219198,0.000219198
37,1119.34,1.02404,1.56754,1.09909,1.17019,0.47213,0.38137,0.39858,0.25143,0.45164,0.37845,0.38423,0.22847,1.44316,2.35005,1.91106,1.55042,0.000205061,0.000205061,0.000205061
38,1149.28,0.99167,1.50228,1.0427,1.13768,0.46992,0.39259,0.4071,0.26846,0.47159,0.39295,0.40663,0.24151,1.47486,2.3263,1.92114,1.57628,0.000190924,0.000190924,0.000190924
39,1179.7,0.9687,1.47169,1.03093,1.13724,0.52782,0.40514,0.41193,0.26767,0.51556,0.39758,0.39866,0.24149,1.45051,2.43518,1.91003,1.53945,0.000176786,0.000176786,0.000176786
40,1209.85,0.95533,1.45421,0.99819,1.13928,0.46199,0.4148,0.4125,0.2668,0.45196,0.40716,0.40387,0.23861,1.48188,2.36255,1.97465,1.57322,0.000162649,0.000162649,0.000162649
41,1240.84,0.98735,1.47832,0.96097,1.16649,0.56674,0.35652,0.42169,0.26794,0.57112,0.34773,0.41067,0.24833,1.50209,2.32125,1.95943,1.57497,0.000148512,0.000148512,0.000148512
42,1271.21,0.94643,1.41014,0.91444,1.14104,0.4821,0.46203,0.42593,0.27003,0.46942,0.45942,0.41801,0.25358,1.47568,2.29323,1.87413,1.59015,0.000134375,0.000134375,0.000134375
