epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1746,1.47292,3.0593,1.4735,0.4704,0.19863,0.14391,0.07919,1.86056,3.2609,1.96666,0.000235521,0.000235521,0.000235521
2,62.0105,1.63491,2.57716,1.63723,0.30247,0.19388,0.10696,0.05377,2.03199,3.86318,2.13631,0.000464145,0.000464145,0.000464145
3,92.416,1.71003,2.61183,1.66654,0.41968,0.13912,0.12702,0.06009,2.05294,5.38412,2.19445,0.000683345,0.000683345,0.000683345
4,122.745,1.70475,2.53897,1.64948,0.42094,0.15384,0.13763,0.06756,1.94554,3.2547,2.01023,0.000671588,0.000671588,0.000671588
5,152.76,1.64426,2.42567,1.63525,0.40534,0.2136,0.17472,0.08529,1.89717,3.31888,1.90413,0.000657451,0.000657451,0.000657451
6,183.259,1.64445,2.34409,1.61115,0.61507,0.1614,0.19736,0.10058,1.85024,2.86029,1.84333,0.000643314,0.000643314,0.000643314
7,213.912,1.61531,2.30009,1.57069,0.53579,0.23827,0.22122,0.11753,1.78582,2.49944,1.78127,0.000629177,0.000629177,0.000629177
8,244.343,1.52123,2.1815,1.53605,0.57639,0.22066,0.23333,0.12243,1.80931,2.52888,1.82679,0.00061504,0.00061504,0.00061504
9,274.916,1.51756,2.10937,1.53116,0.60196,0.24266,0.25762,0.13998,1.71059,2.35516,1.71511,0.000600902,0.000600902,0.000600902
10,305.48,1.50624,2.07301,1.50982,0.65528,0.27346,0.27862,0.1567,1.72907,2.34384,1.74672,0.000586765,0.000586765,0.000586765
11,335.878,1.47892,2.07863,1.5046,0.44735,0.25974,0.24665,0.13425,1.69984,2.35172,1.72974,0.000572628,0.000572628,0.000572628
12,365.672,1.46155,1.96088,1.48046,0.43708,0.2621,0.29369,0.15727,1.67264,2.17083,1.68557,0.000558491,0.000558491,0.000558491
13,396.107,1.42767,1.91515,1.44536,0.52007,0.28058,0.29728,0.17476,1.7199,2.19059,1.70634,0.000544354,0.000544354,0.000544354
14,426.254,1.40589,1.90847,1.44578,0.5806,0.30998,0.32579,0.19427,1.63202,2.21454,1.6648,0.000530216,0.000530216,0.000530216
15,456.946,1.38716,1.87308,1.43078,0.6516,0.26308,0.29502,0.16825,1.6414,2.44193,1.66403,0.000516079,0.000516079,0.000516079
16,487.069,1.3643,1.7956,1.41896,0.52129,0.27901,0.30692,0.17479,1.63886,2.12023,1.64971,0.000501942,0.000501942,0.000501942
17,516.958,1.36107,1.77131,1.41074,0.45768,0.32489,0.30767,0.17685,1.63906,2.15435,1.64062,0.000487805,0.000487805,0.000487805
18,546.89,1.31483,1.77085,1.3875,0.63142,0.29973,0.33104,0.18311,1.59803,2.05325,1.63024,0.000473668,0.000473668,0.000473668
19,576.717,1.30879,1.71931,1.40725,0.55517,0.33943,0.30989,0.18644,1.56747,2.11455,1.63712,0.00045953,0.00045953,0.00045953
20,606.796,1.31937,1.65508,1.37777,0.5379,0.32147,0.34536,0.21109,1.60064,2.09128,1.63269,0.000445393,0.000445393,0.000445393
21,637.123,1.31294,1.68686,1.38458,0.51835,0.38441,0.35495,0.20924,1.58072,2.0872,1.65574,0.000431256,0.000431256,0.000431256
22,666.899,1.26632,1.60728,1.35038,0.72791,0.30585,0.36628,0.22249,1.55833,1.98436,1.62427,0.000417119,0.000417119,0.000417119
23,697.574,1.26356,1.61704,1.33427,0.50088,0.36425,0.35014,0.20715,1.57342,2.1011,1.62226,0.000402982,0.000402982,0.000402982
24,727.426,1.22727,1.56454,1.34045,0.53908,0.34651,0.33703,0.19834,1.58123,2.06241,1.64407,0.000388844,0.000388844,0.000388844
25,757.242,1.24221,1.5108,1.33863,0.64046,0.35229,0.36375,0.22046,1.5592,2.04055,1.60316,0.000374707,0.000374707,0.000374707
26,787.068,1.24458,1.4913,1.33622,0.60924,0.34587,0.35764,0.21436,1.56904,2.09774,1.6342,0.00036057,0.00036057,0.00036057
27,816.76,1.23456,1.48363,1.31463,0.61527,0.35467,0.35546,0.21808,1.5581,2.05501,1.63752,0.000346433,0.000346433,0.000346433
28,846.583,1.1992,1.48606,1.31112,0.57765,0.37679,0.37144,0.23103,1.47827,2.00896,1.56978,0.000332296,0.000332296,0.000332296
29,876.91,1.20648,1.4182,1.30335,0.59031,0.37554,0.38971,0.23904,1.51173,1.93746,1.58139,0.000318158,0.000318158,0.000318158
30,907.376,1.19684,1.36735,1.29513,0.55916,0.38283,0.38166,0.23073,1.52847,2.0664,1.61007,0.000304021,0.000304021,0.000304021
31,937.209,1.16141,1.39081,1.27906,0.58989,0.38314,0.39138,0.24626,1.49327,1.97058,1.596,0.000289884,0.000289884,0.000289884
32,967.669,1.14333,1.35754,1.27947,0.53219,0.39335,0.38223,0.23186,1.51714,1.9544,1.61725,0.000275747,0.000275747,0.000275747
33,997.746,1.14398,1.32616,1.26605,0.49839,0.39211,0.4043,0.25238,1.52648,1.941,1.61714,0.00026161,0.00026161,0.00026161
34,1028.1,1.12613,1.34148,1.26722,0.58286,0.36865,0.39125,0.2401,1.47503,1.90251,1.5622,0.000247472,0.000247472,0.000247472
35,1057.92,1.11459,1.2834,1.26342,0.57533,0.39273,0.39864,0.24284,1.47669,1.97582,1.55737,0.000233335,0.000233335,0.000233335
36,1087.86,1.08851,1.23452,1.24196,0.56784,0.3732,0.4153,0.25147,1.52905,1.96961,1.6223,0.000219198,0.000219198,0.000219198
37,1118.28,1.1164,1.24102,1.24896,0.50064,0.39601,0.40735,0.2489,1.50029,2.03228,1.58518,0.000205061,0.000205061,0.000205061
38,1148.09,1.08906,1.19655,1.22322,0.54838,0.39691,0.39478,0.23695,1.49844,2.02735,1.57949,0.000190924,0.000190924,0.000190924
39,1178.07,1.07797,1.18736,1.22658,0.48974,0.39854,0.39718,0.24532,1.50005,2.00304,1.60417,0.000176786,0.000176786,0.000176786
40,1207.84,1.05305,1.14811,1.2224,0.58239,0.35499,0.38879,0.23864,1.52296,2.04742,1.60409,0.000162649,0.000162649,0.000162649
41,1238.5,1.07716,1.10953,1.25554,0.61705,0.35567,0.38856,0.23797,1.48893,2.03171,1.57278,0.000148512,0.000148512,0.000148512
42,1268.47,1.04227,1.06911,1.23201,0.55634,0.40178,0.41174,0.25685,1.49551,1.9138,1.59372,0.000134375,0.000134375,0.000134375
43,1298.79,1.02075,1.02225,1.21412,0.51394,0.38931,0.41592,0.25091,1.52176,1.94674,1.62027,0.000120238,0.000120238,0.000120238
44,1328.55,0.99531,0.97019,1.19695,0.68326,0.36045,0.39217,0.24759,1.4984,2.05158,1.59605,0.0001061,0.0001061,0.0001061
45,1358.34,0.98252,0.94173,1.19486,0.54745,0.40049,0.4041,0.25265,1.51371,2.00916,1.60869,9.19632e-05,9.19632e-05,9.19632e-05
46,1388.2,0.97274,0.90286,1.18174,0.62673,0.37664,0.39001,0.24009,1.51631,2.10248,1.62467,7.7826e-05,7.7826e-05,7.7826e-05
47,1417.87,0.95453,0.88319,1.17159,0.56067,0.36927,0.40187,0.24751,1.50781,2.07189,1.61574,6.36888e-05,6.36888e-05,6.36888e-05
48,1447.63,0.93703,0.85757,1.14672,0.5544,0.38891,0.40581,0.25194,1.50169,2.12983,1.59548,4.95516e-05,4.95516e-05,4.95516e-05
49,1477.49,0.91816,0.83629,1.14698,0.55536,0.39315,0.40257,0.25034,1.51375,2.11021,1.61416,3.54144e-05,3.54144e-05,3.54144e-05
50,1507.24,0.9191,0.81643,1.14912,0.54119,0.38374,0.40164,0.25389,1.49724,2.14604,1.60408,2.12772e-05,2.12772e-05,2.12772e-05
