epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.374,1.57941,1.89896,1.14175,0.61208,0.57354,0.57948,0.33449,1.35743,1.24875,1.0379,0.00332944,0.00332944,0.00332944
2,411.514,1.4946,1.28494,1.06297,0.60765,0.51585,0.54809,0.31187,1.45714,1.29057,1.0609,0.00653085,0.00653085,0.00653085
3,610.732,1.63006,1.39896,1.11526,0.57142,0.4662,0.47955,0.26062,1.6186,1.45295,1.13788,0.00960026,0.00960026,0.00960026
4,808.419,1.69097,1.46334,1.15411,0.5896,0.49428,0.51742,0.28731,1.52624,1.33108,1.11558,0.009406,0.009406,0.009406
5,1008.81,1.61143,1.35872,1.12983,0.62493,0.53301,0.56164,0.32006,1.47002,1.26494,1.09972,0.009208,0.009208,0.009208
6,1208.83,1.56196,1.30009,1.11008,0.62904,0.55054,0.58357,0.34173,1.40595,1.21767,1.07008,0.00901,0.00901,0.00901
7,1406.29,1.5279,1.26774,1.10203,0.63553,0.55669,0.59471,0.34713,1.41427,1.1742,1.07209,0.008812,0.008812,0.008812
8,1605.7,1.4842,1.21718,1.08571,0.63685,0.57323,0.60792,0.36142,1.37648,1.15105,1.06264,0.008614,0.008614,0.008614
9,1806.82,1.45986,1.18858,1.07107,0.64797,0.58705,0.62609,0.37258,1.35579,1.14156,1.04865,0.008416,0.008416,0.008416
10,2004.62,1.43432,1.16236,1.06518,0.66102,0.58853,0.63541,0.38035,1.32556,1.12208,1.04224,0.008218,0.008218,0.008218
11,2204.16,1.41334,1.13168,1.05872,0.65821,0.59271,0.63548,0.38103,1.31529,1.08377,1.03728,0.00802,0.00802,0.00802
12,2401.57,1.39772,1.11366,1.05266,0.66172,0.60066,0.64725,0.39492,1.29109,1.0646,1.0278,0.007822,0.007822,0.007822
13,2599.76,1.37842,1.11026,1.04675,0.6721,0.61241,0.65771,0.40279,1.27759,1.05348,1.01837,0.007624,0.007624,0.007624
14,2797.59,1.36508,1.08501,1.04092,0.67656,0.61102,0.66451,0.40966,1.26883,1.02569,1.01669,0.007426,0.007426,0.007426
15,2994.19,1.36278,1.07861,1.04051,0.67671,0.62018,0.66922,0.41341,1.25929,1.0342,1.01243,0.007228,0.007228,0.007228
16,3190.51,1.34191,1.05815,1.02866,0.68872,0.60789,0.6714,0.42034,1.24516,0.99766,1.00869,0.00703,0.00703,0.00703
17,3388.06,1.33367,1.04641,1.02745,0.6744,0.62542,0.67281,0.41924,1.24098,1.01755,1.00276,0.006832,0.006832,0.006832
18,3584.97,1.32812,1.04252,1.02488,0.67574,0.63273,0.6816,0.4291,1.22265,0.993,0.99839,0.006634,0.006634,0.006634
19,3781.3,1.31379,1.03166,1.0169,0.68698,0.63295,0.68653,0.43369,1.22265,0.96576,1.0008,0.006436,0.006436,0.006436
20,3978.81,1.30223,1.01732,1.01534,0.68771,0.64217,0.69396,0.43796,1.20951,0.95817,0.99026,0.006238,0.006238,0.006238
21,4177.37,1.30394,1.00914,1.01702,0.67732,0.63946,0.6865,0.43837,1.19765,0.96149,0.98879,0.00604,0.00604,0.00604
22,4373.61,1.29114,1.00105,1.0096,0.69213,0.63464,0.69458,0.44157,1.19673,0.96069,0.98759,0.005842,0.005842,0.005842
23,4571.23,1.28089,0.98786,1.00568,0.68792,0.64191,0.69766,0.44422,1.1913,0.94809,0.98752,0.005644,0.005644,0.005644
24,4767.86,1.26788,0.97285,1.00106,0.68809,0.65657,0.70258,0.449,1.18412,0.9325,0.98389,0.005446,0.005446,0.005446
25,4966.22,1.26553,0.97015,1.00097,0.69042,0.65964,0.70721,0.454,1.18215,0.92262,0.98608,0.005248,0.005248,0.005248
26,5162.83,1.25763,0.95646,0.99823,0.69241,0.6501,0.70304,0.45147,1.17693,0.92779,0.98212,0.00505,0.00505,0.00505
27,5359.36,1.24782,0.95265,0.99401,0.7003,0.65765,0.71005,0.45575,1.17148,0.91466,0.9785,0.004852,0.004852,0.004852
28,5557.76,1.24804,0.95432,0.99452,0.7003,0.66175,0.71624,0.46245,1.16196,0.9088,0.97418,0.004654,0.004654,0.004654
29,5755.42,1.23344,0.93353,0.98396,0.69797,0.66548,0.71871,0.46428,1.16023,0.90354,0.97232,0.004456,0.004456,0.004456
30,5952.64,1.23091,0.92449,0.98612,0.69639,0.66062,0.71407,0.46028,1.16329,0.90792,0.97506,0.004258,0.004258,0.004258
31,6152.69,1.22882,0.92182,0.98417,0.69709,0.67187,0.7198,0.46631,1.15143,0.90009,0.96983,0.00406,0.00406,0.00406
32,6350.4,1.21657,0.90999,0.98108,0.70262,0.66638,0.72132,0.4678,1.14667,0.89466,0.96898,0.003862,0.003862,0.003862
33,6551,1.21555,0.90848,0.98169,0.70105,0.67115,0.722,0.46903,1.14574,0.88983,0.96802,0.003664,0.003664,0.003664
34,6748.92,1.20204,0.89581,0.97675,0.69719,0.67042,0.72167,0.46868,1.14464,0.88858,0.96794,0.003466,0.003466,0.003466
35,6944.38,1.20063,0.88743,0.97543,0.70189,0.66948,0.72535,0.47222,1.13968,0.88204,0.964,0.003268,0.003268,0.003268
36,7141.87,1.19541,0.88359,0.9703,0.70503,0.66831,0.72654,0.4732,1.14102,0.88229,0.96538,0.00307,0.00307,0.00307
